id;target number;weight level;time;;total time
3;1;heavy;15,76459;;
3;2;heavy;1,266669;;
3;3;heavy;1,155557;;
3;4;heavy;1,500003;;
3;5;heavy;1,877781;;
3;6;heavy;1,522225;;
3;7;heavy;1,422225;;
3;8;heavy;1,144446;;
3;9;heavy;1,255558;;
3;10;heavy;1,133335;;
3;11;heavy;1,144446;;
3;12;heavy;1,055557;;
3;13;heavy;1,233335;;
3;14;heavy;1,544447;;
3;15;heavy;1,300002;;
3;16;heavy;1,166668;;
3;17;heavy;1,244446;;
3;18;heavy;1,311113;;
3;19;heavy;1,522225;;
3;20;heavy;1,055557;;
3;21;heavy;1,355558;;
3;22;heavy;1,588892;;
3;23;heavy;1,488891;;
3;24;heavy;1,455558;;
3;25;heavy;2,100003;;
3;26;heavy;1,344447;;
3;27;heavy;1,08889;;
3;28;heavy;1,133335;;
3;29;heavy;1,355558;;
3;30;heavy;1,922226;;
3;31;heavy;1,111113;;
3;32;heavy;1,244446;;
3;33;heavy;1,677781;;
3;34;heavy;1,533336;;
3;35;heavy;1,288891;;
3;36;heavy;1,244446;;
3;37;heavy;1,511114;;
3;38;heavy;1,222224;;
3;39;heavy;1,466669;;
3;40;heavy;1,011112;;
3;41;heavy;1,700003;;
3;42;heavy;1,022224;;
3;43;heavy;1,200002;;
3;44;heavy;1,488891;;
3;45;heavy;0,9888902;;
3;46;heavy;1,544447;;
3;47;heavy;1,144446;;
3;48;heavy;1,533336;;
3;49;heavy;1,155557;;
3;50;heavy;1,411114;;
3;51;heavy;1,133335;;
;;;;;83,08691
3;1;light;7,375588;;
3;2;light;1,266669;;
3;3;light;1,17778;;
3;4;light;1,366669;;
3;5;light;1,366669;;
3;6;light;1,17778;;
3;7;light;1,544447;;
3;8;light;1,444447;;
3;9;light;1,144446;;
3;10;light;1,355558;;
3;11;light;1,744448;;
3;12;light;1,688892;;
3;13;light;2,144447;;
3;14;light;1,422225;;
3;15;light;1,588892;;
3;16;light;2,06667;;
3;17;light;1,37778;;
3;18;light;1,400002;;
3;19;light;1,533336;;
3;20;light;1,66667;;
3;21;light;1,08889;;
3;22;light;1,644447;;
3;23;light;1,000001;;
3;24;light;1,233335;;
3;25;light;1,455558;;
3;26;light;1,333336;;
3;27;light;1,544447;;
3;28;light;1,433336;;
3;29;light;1,27778;;
3;30;light;1,388891;;
3;31;light;2,000004;;
3;32;light;1,366669;;
3;33;light;1,37778;;
3;34;light;1,08889;;
3;35;light;1,422225;;
3;36;light;0,9888902;;
3;37;light;1,133335;;
