time;velocity
2,890912;4,44E-06
2,902078;1,31E-06
2,913007;1,43E-06
2,923925;3,15E-06
2,935796;5,56E-07
2,946436;3,28E-06
2,957259;1,41E-06
2,968606;3,91E-06
2,979543;1,27E-06
2,990514;2,14E-06
3,001701;9,69E-07
3,013011;4,73E-06
3,024118;2,44E-06
3,034963;1,75E-06
3,046416;1,29E-06
3,057375;2,13E-06
3,068505;2,11E-06
3,079916;1,54E-06
3,091179;1,53E-06
3,102342;3,30E-06
3,113194;3,88E-06
3,124246;1,86E-06
3,135343;1,34E-06
3,146459;1,57E-06
3,158186;1,72E-06
3,169148;3,54E-06
3,179833;2,98E-06
3,191139;2,54E-06
3,202143;2,23E-06
3,213357;1,04E-06
3,224346;1,94E-06
3,235558;1,82E-06
3,246539;4,11E-06
3,257583;1,44E-06
3,268595;3,51E-06
3,279568;2,75E-06
3,290642;2,50E-06
3,301551;1,45E-06
3,312949;1,91E-06
3,323911;2,64E-06
3,335045;1,91E-06
3,346203;5,36E-06
3,357341;1,03E-06
3,368765;3,75E-06
3,380013;1,31E-06
3,390866;2,52E-06
3,401931;1,54E-06
3,413136;1,27E-06
