time;distance to prev position;controller position;camera position;distance to prev target;distance to current target
(0.1513, 0.8669, 3.8993);(2.1102, 0.9398, 3.5025)

0;-8,862692E-05;(0.0832, 1.1163, -0.5021);(0.1425, 1.4391, -1.0447);4,4090;4,4919
0,0117074;3,362809E-05;(0.0832, 1.1163, -0.5022);(0.1425, 1.4390, -1.0447);4,4091;4,4920
0,0117074;3,362809E-05;(0.0832, 1.1163, -0.5022);(0.1425, 1.4390, -1.0447);4,4091;4,4920
0,0282847;0,0002121787;(0.0832, 1.1162, -0.5024);(0.1426, 1.4390, -1.0447);4,4093;4,4921
0,0446932;0,0004378168;(0.0831, 1.1160, -0.5025);(0.1426, 1.4391, -1.0446);4,4094;4,4922
0,0551971;0,00052896;(0.0830, 1.1160, -0.5025);(0.1426, 1.4391, -1.0445);4,4094;4,4923
0,0664454;0,0002201329;(0.0828, 1.1162, -0.5024);(0.1427, 1.4391, -1.0446);4,4093;4,4923
0,0664454;0,0002201329;(0.0828, 1.1162, -0.5024);(0.1427, 1.4391, -1.0446);4,4093;4,4923
0,08866391;-0,0002240817;(0.0824, 1.1162, -0.5023);(0.1427, 1.4391, -1.0446);4,4092;4,4924
0,1001681;-0,0002643462;(0.0824, 1.1162, -0.5023);(0.1428, 1.4390, -1.0446);4,4092;4,4924
0,1106162;-0,0001289248;(0.0825, 1.1161, -0.5023);(0.1428, 1.4390, -1.0447);4,4092;4,4924
0,1106162;-0,0001289248;(0.0825, 1.1161, -0.5023);(0.1428, 1.4390, -1.0447);4,4092;4,4924
0,1327853;-1,001452E-05;(0.0825, 1.1161, -0.5024);(0.1430, 1.4390, -1.0446);4,4093;4,4925
0,1440183;0,0001380129;(0.0824, 1.1161, -0.5026);(0.1431, 1.4390, -1.0446);4,4095;4,4926
0,1550479;6,890509E-05;(0.0824, 1.1161, -0.5025);(0.1431, 1.4390, -1.0447);4,4094;4,4926
0,1663236;0,0003620448;(0.0822, 1.1161, -0.5026);(0.1432, 1.4390, -1.0447);4,4095;4,4928
0,1663236;0,0003620448;(0.0822, 1.1161, -0.5026);(0.1432, 1.4390, -1.0447);4,4095;4,4928
0,188683;0,0006564363;(0.0821, 1.1164, -0.5028);(0.1433, 1.4391, -1.0447);4,4097;4,4930
0,1996955;0,0009639002;(0.0823, 1.1164, -0.5030);(0.1433, 1.4391, -1.0447);4,4099;4,4931
0,2107319;0,001496977;(0.0827, 1.1165, -0.5032);(0.1434, 1.4391, -1.0447);4,4102;4,4931
0,2217687;0,002618552;(0.0838, 1.1166, -0.5036);(0.1434, 1.4392, -1.0448);4,4104;4,4929
0,2327114;0,004232788;(0.0854, 1.1167, -0.5040);(0.1435, 1.4392, -1.0448);4,4109;4,4926
0,2438425;0,006260618;(0.0873, 1.1169, -0.5045);(0.1435, 1.4393, -1.0448);4,4114;4,4922
0,2549022;0,008300082;(0.0892, 1.1170, -0.5052);(0.1434, 1.4394, -1.0448);4,4120;4,4919
0,2660881;0,01161776;(0.0924, 1.1171, -0.5060);(0.1434, 1.4394, -1.0449);4,4128;4,4912
0,2771431;0,01418869;(0.0950, 1.1171, -0.5065);(0.1434, 1.4394, -1.0450);4,4132;4,4905
0,2895751;0,01873808;(0.0994, 1.1175, -0.5073);(0.1434, 1.4395, -1.0451);4,4141;4,4893
0,2991939;0,02273697;(0.1033, 1.1177, -0.5083);(0.1433, 1.4395, -1.0452);4,4150;4,4885
0,3103461;0,02697836;(0.1074, 1.1181, -0.5092);(0.1434, 1.4394, -1.0453);4,4159;4,4874
0,322431;0,03205074;(0.1124, 1.1186, -0.5102);(0.1434, 1.4395, -1.0454);4,4169;4,4861
0,322431;0,03205074;(0.1124, 1.1186, -0.5102);(0.1434, 1.4395, -1.0454);4,4169;4,4861
0,3440532;0,04272528;(0.1227, 1.1196, -0.5125);(0.1434, 1.4395, -1.0456);4,4191;4,4836
0,3550647;0,048636;(0.1285, 1.1199, -0.5137);(0.1434, 1.4395, -1.0457);4,4203;4,4821
0,3661683;0,0543107;(0.1340, 1.1203, -0.5149);(0.1435, 1.4395, -1.0458);4,4215;4,4808
0,3774897;0,06040908;(0.1400, 1.1205, -0.5164);(0.1435, 1.4395, -1.0459);4,4230;4,4795
0,3884911;0,06690337;(0.1463, 1.1207, -0.5179);(0.1436, 1.4395, -1.0460);4,4245;4,4781
0,3995074;0,07320009;(0.1524, 1.1213, -0.5193);(0.1437, 1.4394, -1.0461);4,4259;4,4767
0,4108332;0,07939357;(0.1584, 1.1214, -0.5206);(0.1438, 1.4394, -1.0462);4,4272;4,4752
0,4220586;0,08531971;(0.1642, 1.1214, -0.5220);(0.1439, 1.4394, -1.0464);4,4286;4,4740
0,4329492;0,0912374;(0.1699, 1.1210, -0.5234);(0.1441, 1.4395, -1.0465);4,4300;4,4727
0,4440447;0,0969298;(0.1755, 1.1210, -0.5247);(0.1443, 1.4396, -1.0467);4,4313;4,4715
0,455093;0,1027926;(0.1812, 1.1209, -0.5260);(0.1446, 1.4396, -1.0468);4,4327;4,4702
0,4662019;0,1083337;(0.1866, 1.1208, -0.5272);(0.1448, 1.4397, -1.0470);4,4339;4,4689
0,4773975;0,1141214;(0.1922, 1.1204, -0.5285);(0.1451, 1.4397, -1.0471);4,4352;4,4677
0,4773975;0,1141214;(0.1922, 1.1204, -0.5285);(0.1451, 1.4397, -1.0471);4,4352;4,4677
0,499385;0,1249855;(0.2027, 1.1193, -0.5310);(0.1458, 1.4398, -1.0474);4,4378;4,4654
0,5106241;0,1301679;(0.2077, 1.1183, -0.5322);(0.1461, 1.4398, -1.0477);4,4390;4,4643
0,5218742;0,1354233;(0.2127, 1.1176, -0.5335);(0.1465, 1.4398, -1.0479);4,4403;4,4633
0,532723;0,1405588;(0.2177, 1.1170, -0.5346);(0.1470, 1.4398, -1.0481);4,4415;4,4622
