time;distance
0,04;3,971741
0,04;0,03562026
0,3733333;0,4114767
0,4817106;0,0533998
0,5127689;0,01033366
0,5241773;0,008694607
0,5351292;0,007878968
0,5466028;0,008372756
0,5582197;0,009768859
0,5696416;0,008758513
0,5811219;0,008848335
0,5924898;0,007890598
0,6041298;0,007994833
0,6160182;0,007002748
0,6278651;0,007532157
0,6278651;0,0077752
0,6627183;0,01553512
0,6747547;0,006570888
0,6859686;0,003849059
0,6971768;0,004232498
0,7088501;0,004857666
0,7088501;0,006625422
0,7321869;0,008354878
0,7434991;0,009321771
0,7549269;0,008440891
0,7666106;0,007653739
0,778181;0,006340765
0,7898357;0,005034524
0,801747;0,004588879
0,8132125;0,004947602
0,8244876;0,005820577
0,8356256;0,00635877
0,8465294;0,005578632
0,85781;0,005790412
0,8694335;0,005026321
0,8800471;0,006632839
0,8912231;0,00570739
0,9022412;0,005402855
0,9133512;0,003984057
0,9245825;0,004088393
0,9354724;0,004528502
0,9470693;0,005254879
0,9578959;0,005711374
0,9682823;0,004794757
0,98044;0,005481831
0,9907073;0,006288199
1,001829;0,006311789
1,012852;0,006560478
1,024269;0,006653986
1,034861;0,006966141
1,04592;0,006904026
1,057557;0,007001156
1,069777;0,005878584
1,07933;0,004766023
1,090194;0,0104639
1,101125;0,006681653
1,112627;0,005691486
1,123881;0,006412114
1,136221;0,004934285
1,148513;0,003603481
1,161075;0,004442867
1,173715;0,004484325
1,18559;0,004556531
1,197155;0,00585776
1,208141;0,005602756
1,219715;0,004928809
1,230408;0,009165416
1,241157;0,006735165
1,252592;0,008917382
1,263715;0,006994963
1,274851;0,006825096
1,285885;0,006048456
1,296824;0,006818049
1,30782;0,006411043
1,31911;0,006483424
1,329775;0,006588705
1,341076;0,006817601
1,3525;0,007165903
1,363394;0,008437079
1,374801;0,007700677
1,386067;0,007743688
1,396752;0,007139282
1,407988;0,007678722
1,419049;0,008286771
1,430114;0,009043681
1,440886;0,009754769
1,452153;0,009022974
1,463165;0,007956957
1,47455;0,008996142
1,485704;0,009864332
1,496649;0,01042008
1,50779;0,01229182
1,518925;0,01033082
1,530437;0,008140747
1,541048;0,008713745
1,552423;0,005378706
1,563502;0,006890062
1,574801;0,005265725
1,586138;0,006675296
1,597152;0,007214041
1,607996;0,006214722
1,619315;0,005674151
1,63019;0,004038769
1,641203;0,004371938
1,652329;0,005027108
1,663108;0,005548912
1,674636;0,005589544
1,685812;0,00535537
1,696763;0,00521328
1,708081;0,005715718
1,71902;0,00563365
1,730138;0,006818056
1,741136;0,006194711
1,752138;0,006040159
1,763086;0,005964051
1,774604;0,005978813
1,786057;0,004395361
1,797003;0,003626368
1,808074;0,002290924
1,818601;0,0046908
1,83;0,004124694
1,840686;0,005020707
1,851734;0,004473365
1,862895;0,004260186
1,874261;0,00402432
1,885502;0,003418663
1,89656;0,003868348
1,907862;0,003758271
1,919019;0,003813373
1,930066;0,003291843
1,941361;0,003034605
1,952412;0,002744102
1,963686;0,002575061
1,97475;0,0019925
1,986017;0,001818337
1,996896;0,002697129
2,007773;0,001824339
2,018829;0,001993837
2,030074;0,002438066
2,041317;0,003286948
2,052263;0,002877039
2,063766;0,003067842
2,074974;0,002216247
2,085806;0,001515137
2,096589;0,00151986
2,107478;0,001580165
2,1187;0,001942322
2,129818;0,002430391
2,141043;0,005027259
2,152284;0,00379562
2,163143;0,005054477
2,174302;0,005336558
2,185526;0,004842702
2,196862;0,004516681
2,207792;0,004342155
2,219045;0,005624691
2,230253;0,00664657
2,241368;0,005229033
2,252299;0,007595454
2,263255;0,0102864
2,274189;0,01070725
2,285213;0,01029754
2,296346;0,01255142
2,307665;0,01216784
2,318705;0,01222915
2,32987;0,01234393
2,34122;0,01239725
2,352477;0,01275822
2,363436;0,0144943
2,374603;0,01469678
2,385866;0,01509358
2,396985;0,01522267
2,40819;0,01619785
2,419471;0,01595478
2,430435;0,01541114
