time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;;;
(-3.5460, 3.2766, 2.2280);(-2.3057, 2.2193, 3.3873);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
0,3299325;0,056168791;0,006182425;(-0.6366, 1.3998, -0.6632);(-0.3014, 1.4993, -1.1368);4,5107;4,4569;;;-0,6365941;1,399829;-0,3972809;;0,005502336;;0,005502336;;0,010457853
0,340725;0,06222279;0,006053999;(-0.6327, 1.3961, -0.6605);(-0.3014, 1.4991, -1.1370);4,513;4,4566;;;-0,6326652;1,396142;-0,3972809;;0,00538797;;0,00538797;;0,010890307
0,3518789;0,068564241;0,006341451;(-0.6287, 1.3921, -0.6576);(-0.3014, 1.4990, -1.1371);4,5154;4,4563;;;-0,6286861;1,392099;-0,3972809;;0,005672661;;0,005672661;;0,011060632
0,3632051;0,074500408;0,005936167;(-0.6250, 1.3884, -0.6549);(-0.3013, 1.4990, -1.1369);4,5177;4,4559;;;-0,624957;1,388351;-0,348937;;0,048632154;;0,048632154;;0,054304815
0,3632051;0,074500408;0;(-0.6250, 1.3884, -0.6549);(-0.3013, 1.4990, -1.1369);4,5177;4,4559;;;-0,624957;1,388351;-0,348937;;0;;0;;0,048632154
0,3855561;0,086134068;0,01163366;(-0.6175, 1.3811, -0.6497);(-0.3014, 1.4991, -1.1368);4,5222;4,4554;;;-0,6175487;1,381053;-0,348937;;0,010399217;;0,010399217;;0,010399217
0,3957437;0,091539851;0,005405783;(-0.6142, 1.3775, -0.6474);(-0.3014, 1.4991, -1.1367);4,5244;4,4552;;;-0,6141993;1,377514;-0,348937;;0,004872679;;0,004872679;;0,015271896
0,4068416;0,097198105;0,005658254;(-0.6107, 1.3739, -0.6448);(-0.3014, 1.4991, -1.1367);4,5265;4,4548;;;-0,6107119;1,373886;-0,348937;;0,00503233;;0,00503233;;0,009905009
0,4177906;0,102335428;0,005137323;(-0.6073, 1.3708, -0.6426);(-0.3013, 1.4991, -1.1365);4,5286;4,4547;;;-0,6072873;1,370758;-0,348937;;0,004638132;;0,004638132;;0,009670462
0,4287727;0,107241828;0,0049064;(-0.6042, 1.3676, -0.6405);(-0.3014, 1.4991, -1.1364);4,5307;4,4546;;;-0,6041507;1,367628;-0,348937;;0,004431158;;0,004431158;;0,00906929
0,43982;0,112151853;0,004910025;(-0.6008, 1.3647, -0.6384);(-0.3014, 1.4991, -1.1363);4,5328;4,4546;;;-0,6008104;1,364686;-0,348937;;0,004451176;;0,004451176;;0,008882334
0,4510607;0,116705925;0,004554072;(-0.5977, 1.3621, -0.6364);(-0.3017, 1.4992, -1.1361);4,5346;4,4545;;;-0,5976709;1,362081;-0,348937;;0,00407952;;0,00407952;;0,008530696
0,4622485;0,121396294;0,004690369;(-0.5946, 1.3592, -0.6343);(-0.3017, 1.4990, -1.1361);4,5365;4,4543;;;-0,5946138;1,359201;-0,348937;;0,004200031;;0,004200031;;0,008279551
0,4732998;0,125397265;0,004000971;(-0.5917, 1.3570, -0.6327);(-0.3017, 1.4991, -1.1360);4,5384;4,4545;;;-0,5916592;1,35701;-0,348937;;0,003678334;;0,003678334;;0,007878365
0,4847008;0,12950791;0,004110645;(-0.5886, 1.3550, -0.6310);(-0.3017, 1.4991, -1.1358);4,5401;4,4545;;;-0,5885595;1,354955;-0,348937;;0,003719027;;0,003719027;;0,007397362
0,4959045;0,133593249;0,004085339;(-0.5855, 1.3528, -0.6293);(-0.3017, 1.4989, -1.1357);4,542;4,4545;;;-0,5854933;1,352844;-0,3681391;;0,019559615;;0,019559615;;0,023278643
0,508467;0,137612857;0,004019608;(-0.5825, 1.3508, -0.6276);(-0.3017, 1.4989, -1.1355);4,5437;4,4546;;;-0,5825067;1,350753;-0,3681391;;0,003645828;;0,003645828;;0,023205443
0,5184321;0,141258843;0,003645986;(-0.5797, 1.3491, -0.6260);(-0.3017, 1.4989, -1.1354);4,5453;4,4546;;;-0,5796942;1,349061;-0,3751898;;0,007777235;;0,007777235;;0,011423063
0,5184321;0,141258843;0;(-0.5797, 1.3491, -0.6260);(-0.3017, 1.4989, -1.1354);4,5453;4,4546;;;-0,5796942;1,349061;-0,3786257;;0,0034359;;0,0034359;;0,011213135
0,541207;0,148364618;0,007105775;(-0.5743, 1.3456, -0.6230);(-0.3017, 1.4990, -1.1349);4,5485;4,4547;;;-0,5742652;1,345567;-0,3816814;;0,007142785;;0,007142785;;0,010578685
0,5520583;0,15171273;0,003348112;(-0.5717, 1.3439, -0.6217);(-0.3017, 1.4989, -1.1347);4,55;4,4548;;;-0,5716704;1,343946;-0,3843216;;0,004041198;;0,004041198;;0,011183983
0,563776;0,155207917;0,003495187;(-0.5689, 1.3423, -0.6203);(-0.3017, 1.4988, -1.1346);4,5516;4,4549;;;-0,5689452;1,342286;-0,3874801;;0,004489815;;0,004489815;;0,008531013
0,5751978;0,158541852;0,003333935;(-0.5663, 1.3408, -0.6189);(-0.3015, 1.4989, -1.1344);4,5532;4,455;;;-0,5662726;1,340786;-0,3911665;;0,00479399;;0,00479399;;0,009283804
0,586683;0,16134346;0,002801608;(-0.5640, 1.3397, -0.6178);(-0.3014, 1.4988, -1.1343);4,5544;4,4551;;;-0,563965;1,339676;-0,3951557;;0,004740341;;0,004740341;;0,009534331
0,5982181;0,164579495;0,003236035;(-0.5614, 1.3382, -0.6165);(-0.3013, 1.4988, -1.1341);4,5559;4,4553;;;-0,5614074;1,338183;-0,399115;;0,004944332;;0,004944332;;0,009684674
0,6100488;0,167248011;0,002668516;(-0.5592, 1.3371, -0.6155);(-0.3013, 1.4988, -1.1339);4,5572;4,4554;;;-0,5592119;1,337072;-0,4029197;;0,004531036;;0,004531036;;0,009475368
0,6214673;0,17016382;0,002915809;(-0.5568, 1.3360, -0.6143);(-0.3012, 1.4988, -1.1337);4,5585;4,4555;;;-0,5567957;1,335962;-0,4074657;;0,005266521;;0,005266521;;0,009797556
0,6329496;0,17275771;0,00259389;(-0.5546, 1.3350, -0.6133);(-0.3011, 1.4988, -1.1334);4,5597;4,4556;;;-0,554628;1,334972;-0,4120486;;0,005165462;;0,005165462;;0,010431982
0,6329496;0,17275771;0;(-0.5546, 1.3350, -0.6133);(-0.3011, 1.4988, -1.1334);4,5597;4,4556;;;-0,554628;1,334972;-0,4164345;;0,0043859;;0,0043859;;0,009551362
0,6441577;0,175128183;0,002370473;(-0.5527, 1.3342, -0.6121);(-0.3010, 1.4988, -1.1332);4,5606;4,4555;;;-0,5526998;1,334226;-0,4205166;;0,004575807;;0,004575807;;0,008961707
0,6556639;0,177378712;0,002250529;(-0.5508, 1.3335, -0.6112);(-0.3009, 1.4988, -1.1330);4,5616;4,4556;;;-0,5507857;1,333476;-0,4243702;;0,004367667;;0,004367667;;0,008943474
0,667093;0,179554555;0,002175843;(-0.5489, 1.3328, -0.6103);(-0.3008, 1.4987, -1.1328);4,5626;4,4557;;;-0,548893;1,332841;-0,4284747;;0,004564259;;0,004564259;;0,008931925
0,6783858;0,181825236;0,002270681;(-0.5469, 1.3322, -0.6094);(-0.3006, 1.4987, -1.1325);4,5636;4,4558;;;-0,5469184;1,332194;-0,432538;;0,004563777;;0,004563777;;0,009128036
0,6980576;0,183538047;0,001712811;(-0.5454, 1.3319, -0.6087);(-0.3006, 1.4986, -1.1323);4,5643;4,4558;;;-0,5453892;1,331875;-0,4369321;;0,00466351;;0,00466351;;0,009227287
0,7028126;0,185268754;0,001730707;(-0.5438, 1.3315, -0.6080);(-0.3005, 1.4986, -1.1322);4,565;4,4559;;;-0,5438301;1,331494;-0,4412474;;0,004604103;;0,004604103;;0,009267614
0,7120202;0,18710707;0,001838316;(-0.5422, 1.3311, -0.6074);(-0.3003, 1.4986, -1.1320);4,5659;4,456;;;-0,5421696;1,33109;-0,4452179;;0,004322655;;0,004322655;;0,008926758
0,7233448;0,188855576;0,001748506;(-0.5406, 1.3308, -0.6068);(-0.3002, 1.4985, -1.1318);4,5667;4,4562;;;-0,5405513;1,330764;-0,4452179;;0,001650809;;0,001650809;;0,005973464
0,7343105;0,190368934;0,001513358;(-0.5392, 1.3306, -0.6063);(-0.3001, 1.4985, -1.1317);4,5674;4,4563;;;-0,5391504;1,330579;-0,4529502;;0,007860357;;0,007860357;;0,009511166
0,7458784;0,191840595;0,001471661;(-0.5378, 1.3304, -0.6057);(-0.3000, 1.4984, -1.1315);4,568;4,4564;;;-0,5378011;1,330442;-0,4529502;;0,001356237;;0,001356237;;0,009216594
0,7566596;0,193322475;0,00148188;(-0.5364, 1.3303, -0.6051);(-0.2998, 1.4984, -1.1313);4,5686;4,4565;;;-0,5364307;1,330282;-0,4566141;;0,003915068;;0,003915068;;0,005271306
0,7677761;0,194395603;0,001073128;(-0.5355, 1.3302, -0.6047);(-0.2997, 1.4983, -1.1311);4,5691;4,4565;;;-0,5354527;1,330174;-0,4601029;;0,003624896;;0,003624896;;0,007539965
0,7789097;0,195334907;0,000939304;(-0.5346, 1.3301, -0.6042);(-0.2996, 1.4984, -1.1309);4,5693;4,4564;;;-0,534649;1,330114;-0,4638438;;0,003826731;;0,003826731;;0,007451627
0,7901443;0,196238925;0,000904018;(-0.5338, 1.3300, -0.6038);(-0.2994, 1.4984, -1.1308);4,5696;4,4564;;;-0,5338457;1,330033;-0,4663358;;0,002619526;;0,002619526;;0,006446256
0,8011296;0,197220598;0,000981674;(-0.5330, 1.3299, -0.6034);(-0.2993, 1.4983, -1.1307);4,57;4,4564;;;-0,5329611;1,329917;-0,4712096;;0,004954786;;0,004954786;;0,007574311
0,8123309;0,198038638;0,00081804;(-0.5322, 1.3298, -0.6031);(-0.2992, 1.4983, -1.1305);4,5703;4,4564;;;-0,5322235;1,32979;-0,4733205;;0,002239661;;0,002239661;;0,007194447
0,8234264;0,19887159;0,000832952;(-0.5315, 1.3296, -0.6028);(-0.2990, 1.4983, -1.1304);4,5708;4,4565;;;-0,5314526;1,329612;-0,4733205;;0,000791183;;0,000791183;;0,003030844
