time;distance to prev position;controller position;camera position;distance to prev target;distance to current target
(-1.9871, 2.8293, 3.2574);(-0.0608, 2.6545, 3.7658)

0;0,0001067051;(-0.1771, 1.3328, -0.5693);(0.0874, 1.4550, -1.0792);4,4899;4,5336
0,012017;0,0003242675;(-0.1769, 1.3329, -0.5692);(0.0876, 1.4550, -1.0792);4,4899;4,5335
0,0224636;0,0001154839;(-0.1767, 1.3331, -0.5692);(0.0877, 1.4550, -1.0791);4,4899;4,5335
0,0335552;-8,783968E-05;(-0.1767, 1.3333, -0.5692);(0.0878, 1.4551, -1.0791);4,4898;4,5334
0,0449209;-0,0003907541;(-0.1767, 1.3336, -0.5692);(0.0880, 1.4551, -1.0791);4,4897;4,5333
0,0571157;-0,0006879037;(-0.1766, 1.3338, -0.5691);(0.0881, 1.4551, -1.0790);4,4896;4,5331
0,0671694;-0,0009614157;(-0.1766, 1.3341, -0.5691);(0.0883, 1.4551, -1.0790);4,4895;4,5330
0,0844931;-0,001197564;(-0.1765, 1.3343, -0.5691);(0.0885, 1.4551, -1.0790);4,4894;4,5330
0,0903592;-0,001498536;(-0.1763, 1.3345, -0.5690);(0.0886, 1.4551, -1.0789);4,4894;4,5328
0,0999417;-0,001737778;(-0.1761, 1.3346, -0.5689);(0.0888, 1.4552, -1.0788);4,4894;4,5327
0,1108694;-0,001943979;(-0.1760, 1.3348, -0.5689);(0.0890, 1.4552, -1.0788);4,4893;4,5326
0,122016;-0,002171032;(-0.1759, 1.3350, -0.5689);(0.0891, 1.4553, -1.0788);4,4892;4,5325
0,1331342;-0,002345425;(-0.1759, 1.3352, -0.5688);(0.0893, 1.4553, -1.0787);4,4892;4,5325
0,1444046;-0,002570506;(-0.1759, 1.3354, -0.5688);(0.0895, 1.4553, -1.0786);4,4891;4,5324
0,155355;-0,002819274;(-0.1759, 1.3356, -0.5688);(0.0896, 1.4553, -1.0786);4,4890;4,5323
0,1665775;-0,00261001;(-0.1757, 1.3357, -0.5688);(0.0898, 1.4554, -1.0785);4,4890;4,5322
0,1778685;-0,002245358;(-0.1753, 1.3357, -0.5687);(0.0900, 1.4554, -1.0784);4,4891;4,5321
0,189084;-0,001601709;(-0.1747, 1.3357, -0.5685);(0.0902, 1.4554, -1.0783);4,4892;4,5320
0,2003188;-0,0008405126;(-0.1739, 1.3358, -0.5684);(0.0905, 1.4554, -1.0782);4,4894;4,5318
