time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;
(-2.3057, 2.2193, 3.3873);(-2.6818, 0.2784, 3.0852);;;;;;;;;;;;
;;;;;;;;;;;;;
0,3744812;0,0862307;0,006767322;(-0.5270, 1.2317, -0.5960);(-0.2923, 1.4938, -1.1197);4,4728;4,3707;;;-0,5269951;1,231719;-0,348937;;0,00674368
0,385494;0,092814605;0,006583905;(-0.5279, 1.2252, -0.5966);(-0.2924, 1.4935, -1.1196);4,4744;4,3693;;;-0,5279377;1,225229;-0,348937;;0,006558094
0,3970088;0,099697611;0,006883006;(-0.5293, 1.2185, -0.5975);(-0.2926, 1.4932, -1.1195);4,4761;4,3679;;;-0,5292728;1,21853;-0,348937;;0,006830746
0,4077369;0,106401305;0,006703694;(-0.5307, 1.2120, -0.5983);(-0.2927, 1.4929, -1.1194);4,4777;4,3665;;;-0,530677;1,212021;-0,348937;;0,006658743
0,4191863;0,113113898;0,006712593;(-0.5320, 1.2055, -0.5989);(-0.2928, 1.4927, -1.1193);4,4793;4,365;;;-0,5319694;1,205466;-0,348937;;0,006681192
0,4303065;0,119608728;0,00649483;(-0.5338, 1.1994, -0.6001);(-0.2929, 1.4924, -1.1191);4,481;4,3638;;;-0,5337984;1,19935;-0,348937;;0,006383627
0,4416361;0,126051505;0,006442777;(-0.5353, 1.1931, -0.6009);(-0.2929, 1.4922, -1.1191);4,4826;4,3625;;;-0,5353062;1,193142;-0,348937;;0,006388484
0,4530675;0,132107044;0,006055539;(-0.5368, 1.1873, -0.6018);(-0.2930, 1.4921, -1.1189);4,4841;4,3613;;;-0,5368246;1,187347;-0,348937;;0,005990623
0,4646723;0,137748477;0,005641433;(-0.5383, 1.1820, -0.6028);(-0.2932, 1.4919, -1.1188);4,4856;4,3603;;;-0,5383169;1,181992;-0,348937;;0,005559045
0,4646723;0,137748477;0;(-0.5383, 1.1820, -0.6028);(-0.2932, 1.4919, -1.1188);4,4856;4,3603;;;-0,5383169;1,181992;-0,348937;;0
0,487399;0,148329177;0,0105807;(-0.5410, 1.1719, -0.6047);(-0.2936, 1.4916, -1.1184);4,4886;4,3585;;;-0,5409899;1,171933;-0,348937;;0,010408093
0,4983797;0,153817254;0,005488077;(-0.5425, 1.1667, -0.6054);(-0.2939, 1.4915, -1.1181);4,4898;4,3573;;;-0,542475;1,1667;-0,3681391;;0,019957717
0,4983797;0,153817254;0;(-0.5425, 1.1667, -0.6054);(-0.2939, 1.4915, -1.1181);4,4898;4,3573;;;-0,542475;1,1667;-0,3681391;;0
0,5211647;0,162913368;0,009096114;(-0.5446, 1.1580, -0.6071);(-0.2944, 1.4913, -1.1177);4,4926;4,3559;;;-0,5446025;1,158018;-0,3751898;;0,011384891
0,5322763;0,167098688;0,00418532;(-0.5455, 1.1540, -0.6080);(-0.2946, 1.4912, -1.1175);4,4939;4,3554;;;-0,545475;1,154017;-0,3786257;;0,005345528
0,5434762;0,171454217;0,004355529;(-0.5466, 1.1499, -0.6088);(-0.2948, 1.4910, -1.1173);4,4952;4,3547;;;-0,5466424;1,149904;-0,3816814;;0,005255178
0,5434762;0,171454217;0;(-0.5466, 1.1499, -0.6088);(-0.2948, 1.4910, -1.1173);4,4952;4,3547;;;-0,5466424;1,149904;-0,3843216;;0,0026402
0,5546781;0,17494121;0,003486993;(-0.5474, 1.1466, -0.6095);(-0.2951, 1.4910, -1.1172);4,4963;4,3543;;;-0,5474015;1,146584;-0,3874801;;0,004644863
0,5662075;0,1787843;0,00384309;(-0.5484, 1.1430, -0.6103);(-0.2953, 1.4908, -1.1170);4,4975;4,3537;;;-0,5484183;1,142951;-0,3911665;;0,005274667
0,5774757;0,182167463;0,003383163;(-0.5493, 1.1399, -0.6113);(-0.2955, 1.4907, -1.1169);4,4988;4,3536;;;-0,5493463;1,139875;-0,3951557;;0,005122175
0,5889005;0,185411705;0,003244242;(-0.5505, 1.1370, -0.6122);(-0.2958, 1.4905, -1.1167);4,4998;4,3532;;;-0,5504683;1,136962;-0,399115;;0,005041876
0,6000144;0,188248845;0,00283714;(-0.5516, 1.1344, -0.6127);(-0.2961, 1.4904, -1.1166);4,5004;4,3526;;;-0,5515783;1,134397;-0,4029197;;0,004720918
0,6113128;0,190847364;0,002598519;(-0.5524, 1.1321, -0.6134);(-0.2964, 1.4903, -1.1164);4,5013;4,3523;;;-0,552443;1,13205;-0,4074657;;0,005188664
0,6223322;0,193108272;0,002260908;(-0.5530, 1.1299, -0.6139);(-0.2966, 1.4901, -1.1162);4,502;4,352;;;-0,5529807;1,129902;-0,4120486;;0,005089793
0,6336241;0,195656955;0,002548683;(-0.5535, 1.1275, -0.6144);(-0.2968, 1.4900, -1.1160);4,5029;4,3517;;;-0,5535096;1,127473;-0,4164345;;0,005041418
0,644671;0,197712667;0,002055712;(-0.5539, 1.1255, -0.6149);(-0.2970, 1.4899, -1.1158);4,5037;4,3516;;;-0,5538552;1,125501;-0,4205166;;0,004546621
0,6556935;0,200031133;0,002318466;(-0.5541, 1.1233, -0.6154);(-0.2972, 1.4898, -1.1156);4,5046;4,3515;;;-0,5540944;1,123256;-0,4243702;;0,00446626
0,6755398;0,20186867;0,001837537;(-0.5544, 1.1215, -0.6159);(-0.2974, 1.4897, -1.1154);4,5053;4,3513;;;-0,5544066;1,121499;-0,4284747;;0,004475649
