time;distance to prev position;controller position;camera position;distance to prev target;distance to current target
(-0.0608, 2.6545, 3.7658);(-1.7080, 1.5344, 3.5867)

0;-0,0003494495;(0.0590, 1.3137, -0.5117);(0.1171, 1.4549, -1.0658);4,4843;4,4685
0,0118418;-5,314889E-05;(0.0592, 1.3139, -0.5118);(0.1172, 1.4550, -1.0657);4,4844;4,4687
0,0284762;-0,0004374047;(0.0595, 1.3140, -0.5118);(0.1172, 1.4549, -1.0657);4,4844;4,4689
0,0355728;-0,0007509061;(0.0599, 1.3139, -0.5118);(0.1172, 1.4549, -1.0656);4,4844;4,4690
0,044187;-0,001027339;(0.0600, 1.3142, -0.5118);(0.1173, 1.4549, -1.0656);4,4844;4,4690
0,0555369;-0,001190646;(0.0602, 1.3142, -0.5118);(0.1173, 1.4549, -1.0656);4,4844;4,4691
0,0666981;-0,001377045;(0.0602, 1.3143, -0.5117);(0.1174, 1.4549, -1.0655);4,4842;4,4690
0,07752769;-0,00152341;(0.0604, 1.3144, -0.5117);(0.1175, 1.4548, -1.0655);4,4842;4,4691
0,0887246;-0,001710754;(0.0605, 1.3142, -0.5117);(0.1176, 1.4548, -1.0654);4,4842;4,4691
0,0998971;-0,001796869;(0.0605, 1.3142, -0.5116);(0.1177, 1.4547, -1.0655);4,4841;4,4690
0,1110003;-0,002044464;(0.0605, 1.3140, -0.5115);(0.1178, 1.4547, -1.0654);4,4841;4,4689
0,1221142;-0,002247838;(0.0604, 1.3139, -0.5114);(0.1178, 1.4546, -1.0656);4,4840;4,4688
0,1334624;-0,002379291;(0.0605, 1.3138, -0.5113);(0.1179, 1.4546, -1.0655);4,4840;4,4687
0,1444141;-0,002650094;(0.0603, 1.3138, -0.5111);(0.1181, 1.4547, -1.0653);4,4837;4,4685
0,1567912;-0,002928969;(0.0601, 1.3137, -0.5110);(0.1182, 1.4549, -1.0652);4,4837;4,4683
0,1665795;-0,003390132;(0.0599, 1.3134, -0.5107);(0.1183, 1.4549, -1.0651);4,4835;4,4680
0,1885862;-0,00416268;(0.0593, 1.3131, -0.5103);(0.1185, 1.4549, -1.0647);4,4832;4,4674
0,1885862;-0,00416268;(0.0593, 1.3131, -0.5103);(0.1185, 1.4549, -1.0647);4,4832;4,4674
0,1997435;-0,004688983;(0.0588, 1.3128, -0.5102);(0.1185, 1.4548, -1.0646);4,4831;4,4671
0,2109028;-0,005760923;(0.0580, 1.3122, -0.5100);(0.1186, 1.4548, -1.0644);4,4831;4,4666
0,2220485;-0,004609845;(0.0569, 1.3117, -0.5098);(0.1187, 1.4547, -1.0643);4,4831;4,4661
0,2331283;-0,006201461;(0.0555, 1.3111, -0.5095);(0.1188, 1.4546, -1.0643);4,4830;4,4653
0,2552144;-0,01026253;(0.0522, 1.3089, -0.5088);(0.1189, 1.4546, -1.0640);4,4829;4,4635
0,2552144;-0,01026253;(0.0522, 1.3089, -0.5088);(0.1189, 1.4546, -1.0640);4,4829;4,4635
0,2773857;-0,01570422;(0.0479, 1.3057, -0.5077);(0.1191, 1.4545, -1.0637);4,4827;4,4609
0,2886194;-0,01959815;(0.0448, 1.3034, -0.5069);(0.1191, 1.4544, -1.0636);4,4825;4,4591
0,2997204;-0,02324808;(0.0419, 1.3014, -0.5063);(0.1192, 1.4543, -1.0634);4,4824;4,4574
0,2997204;-0,02324808;(0.0419, 1.3014, -0.5063);(0.1192, 1.4543, -1.0634);4,4824;4,4574
0,3109046;-0,02789482;(0.0381, 1.2988, -0.5054);(0.1193, 1.4542, -1.0633);4,4823;4,4553
0,3223357;-0,03271579;(0.0341, 1.2963, -0.5045);(0.1193, 1.4541, -1.0631);4,4821;4,4530
0,3374034;-0,02740205;(0.0297, 1.2934, -0.5037);(0.1194, 1.4539, -1.0630);4,4822;4,4508
0,3442428;-0,02183094;(0.0252, 1.2902, -0.5031);(0.1195, 1.4539, -1.0629);4,4824;4,4486
0,3553798;-0,01639475;(0.0207, 1.2873, -0.5024);(0.1196, 1.4538, -1.0627);4,4826;4,4464
0,3773828;-0,004130306;(0.0107, 1.2802, -0.5013);(0.1199, 1.4537, -1.0625);4,4835;4,4419
0,3885412;0,002219315;(0.0055, 1.2766, -0.5009);(0.1199, 1.4537, -1.0624);4,4842;4,4397
0,3995603;0,008595908;(0.0004, 1.2727, -0.5004);(0.1200, 1.4537, -1.0622);4,4849;4,4376
0,4106609;0,01502888;(-0.0048, 1.2690, -0.5002);(0.1201, 1.4536, -1.0621);4,4857;4,4355
0,4218521;0,02136515;(-0.0097, 1.2650, -0.4999);(0.1202, 1.4536, -1.0619);4,4866;4,4337
0,4330575;0,02794612;(-0.0149, 1.2610, -0.4995);(0.1202, 1.4535, -1.0617);4,4874;4,4315
0,4441189;0,03457535;(-0.0200, 1.2568, -0.4994);(0.1202, 1.4535, -1.0615);4,4886;4,4297
0,4551634;0,04094306;(-0.0249, 1.2528, -0.4993);(0.1202, 1.4535, -1.0613);4,4897;4,4280
0,4551634;0,04094306;(-0.0249, 1.2528, -0.4993);(0.1202, 1.4535, -1.0613);4,4897;4,4280
0,4664813;0,04713925;(-0.0298, 1.2489, -0.4993);(0.1203, 1.4535, -1.0612);4,4908;4,4264
0,4776177;0,05303023;(-0.0345, 1.2454, -0.4994);(0.1203, 1.4536, -1.0610);4,4920;4,4249
0,4929644;0,05903965;(-0.0394, 1.2419, -0.4993);(0.1203, 1.4536, -1.0608);4,4930;4,4233
0,5108328;0,06930535;(-0.0478, 1.2360, -0.4998);(0.1202, 1.4536, -1.0605);4,4953;4,4210
