time;acceleration
0,0285816;2,400333E-09
0,0397419;-1,457571E-08
0,0510806;-6,817375E-09
0,0625585;-3,519792E-09
0,0740332;-2,667696E-08
0,0854389;5,940792E-09
0,096752;1,582617E-08
0,1079894;1,695151E-08
0,1193188;3,690504E-09
0,1306075;6,117639E-08
0,1422041;-1,780696E-08
0,1422041;-2,681257E-08
0,1605983;-2,414033E-08
0,1732924;1,662267E-08
0,1831847;-3,050575E-08
0,1945535;1,641561E-08
0,2053802;8,566745E-08
0,216574;2,952246E-08
0,2276074;1,470646E-07
0,2387239;-4,400083E-08
0,2499309;1,48329E-07
0,2613488;8,298302E-08
0,2724704;7,890558E-08
0,2833241;-1,427794E-08
0,294673;1,412293E-07
0,294673;-6,338148E-07
0,3167343;1,20076E-06
0,3278989;-5,264433E-07
0,3390523;8,475036E-10
0,350103;1,154163E-08
0,3628294;-2,422923E-08
0,3721567;2,862507E-08
0,3830891;-2,509427E-08
0,3944802;-5,044785E-09
0,4053117;4,442183E-08
0,4163862;-5,253103E-08
0,4276702;-3,425033E-08
0,4386765;-9,138883E-08
0,4500992;1,921355E-08
0,4500992;-5,464278E-07
0,472001;1,047831E-06
0,4833533;-5,14581E-07
0,4945406;-1,30409E-07
0,5055633;-2,592504E-08
0,5166019;3,553629E-08
0,5281154;-1,139447E-07
0,5394208;1,225471E-08
0,5509835;-1,732558E-08
0,5634281;-3,485977E-08
0,5739588;-4,475713E-08
0,5848918;-6,827722E-09
0,5963037;-2,928673E-08
0,607941;-3,454835E-08
0,607941;-1,43157E-07
0,6301318;2,338201E-07
0,641489;-1,29576E-07
0,6528832;2,639144E-08
0,6643017;-1,537502E-08
0,6754249;-2,724379E-08
0,6866955;1,02371E-08
0,698338;-2,144873E-08
0,7093357;6,289783E-09
0,7206013;-1,606643E-08
0,732056;-1,321732E-09
0,732056;-6,570667E-08
0,7433734;5,982667E-08
0,7546081;-1,366434E-09
0,7670071;-1,237393E-08
0,7820011;-2,5481E-09
0,7878994;9,661912E-09
0,7991691;-2,646443E-09
0,8103878;1,446754E-08
0,8214607;4,392859E-09
0,8326616;-1,241564E-08
0,8439509;4,261728E-09
0,8549302;1,157523E-08
0,8661991;-1,164526E-08
0,8774663;-1,540184E-08
0,8886396;4,217027E-09
0,8998526;-2,300735E-09
0,9109309;2,463698E-07
0,9218858;-2,372473E-07
0,9374316;3,17395E-09
0,9442376;1,911073E-08
0,9553775;-2,426654E-08
0,9676887;-5,254151E-09
0,9773052;-1,100644E-07
0,9884402;1,04253E-07
0,9997619;-1,747608E-08
1,01102;-7,238239E-08
1,021629;4,97103E-09
1,032987;6,857513E-09
1,043799;6,012171E-08
1,054884;-4,644096E-08
1,065922;3,884733E-08
1,077202;1,573265E-08
1,092493;-9,672345E-09
1,099284;-4,844368E-08
1,110285;1,52573E-08
1,121227;3,091395E-08
1,132483;-2,909303E-08
1,143591;2,197921E-09
1,154842;3,230125E-08
1,166;-5,094856E-08
1,178501;1,34781E-08
1,188216;-1,958012E-09
1,199505;3,634542E-08
1,210725;-1,368225E-08
1,221758;-3,493279E-08
1,232892;1,300126E-08
1,248458;-1,161992E-08
1,254935;4,33296E-08
1,266243;1,937155E-10
1,277327;-7,484854E-09
1,288184;6,577372E-09
1,299403;-3,482252E-08
1,310652;1,630187E-09
