time;distance to prev position;controller position;camera position;distance to prev target;distance to current target
(0.0000, 3.5355, 3.5355);(1.7746, 2.6649, 3.8405)

0;0,0002578577;(0.0740, 1.3725, -0.5363);(0.1452, 1.4610, -1.0507);4,6114;4,8702
0;0,0002578577;(0.0740, 1.3725, -0.5363);(0.1452, 1.4610, -1.0507);4,6114;4,8702
0,0236804;-0,0005741543;(0.0743, 1.3733, -0.5364);(0.1450, 1.4610, -1.0505);4,6111;4,8700
0,0389051;-0,0009287244;(0.0741, 1.3735, -0.5366);(0.1448, 1.4609, -1.0504);4,6110;4,8701
0,0496939;-0,001223169;(0.0742, 1.3738, -0.5365);(0.1448, 1.4609, -1.0504);4,6109;4,8700
0,0609286;-0,001547426;(0.0741, 1.3741, -0.5367);(0.1447, 1.4610, -1.0503);4,6109;4,8700
0,0720312;-0,001239735;(0.0741, 1.3744, -0.5368);(0.1446, 1.4610, -1.0502);4,6109;4,8701
0,0831465;-0,001067602;(0.0740, 1.3745, -0.5369);(0.1445, 1.4610, -1.0501);4,6109;4,8702
0,09437659;-0,0009253499;(0.0740, 1.3746, -0.5370);(0.1443, 1.4610, -1.0501);4,6109;4,8702
0,09437659;-0,0009253499;(0.0740, 1.3746, -0.5370);(0.1443, 1.4610, -1.0501);4,6109;4,8702
0,1126486;-0,001135873;(0.0741, 1.3745, -0.5368);(0.1443, 1.4610, -1.0501);4,6108;4,8700
0,1293048;-0,001760569;(0.0741, 1.3752, -0.5369);(0.1441, 1.4610, -1.0498);4,6106;4,8699
0,1383183;-0,001956143;(0.0739, 1.3752, -0.5368);(0.1440, 1.4610, -1.0498);4,6104;4,8699
0,1495244;-0,001787707;(0.0738, 1.3753, -0.5368);(0.1439, 1.4610, -1.0497);4,6105;4,8700
0,1606328;-0,001559401;(0.0736, 1.3751, -0.5369);(0.1438, 1.4610, -1.0496);4,6105;4,8701
0,171784;-0,001710386;(0.0737, 1.3752, -0.5369);(0.1438, 1.4609, -1.0496);4,6105;4,8700
0,1829372;-0,00157702;(0.0737, 1.3751, -0.5368);(0.1438, 1.4610, -1.0495);4,6105;4,8700
0,194133;-0,001720844;(0.0739, 1.3751, -0.5368);(0.1438, 1.4609, -1.0494);4,6105;4,8699
0,2058468;-0,001274429;(0.0743, 1.3749, -0.5368);(0.1437, 1.4610, -1.0493);4,6106;4,8698
0,216532;-0,0007709391;(0.0747, 1.3746, -0.5368);(0.1437, 1.4610, -1.0492);4,6107;4,8697
0,2275866;9,222823E-05;(0.0754, 1.3742, -0.5366);(0.1437, 1.4610, -1.0491);4,6108;4,8695
0,2397229;0,001362006;(0.0765, 1.3735, -0.5366);(0.1437, 1.4610, -1.0490);4,6112;4,8693
0,2497536;0,003706936;(0.0783, 1.3720, -0.5368);(0.1437, 1.4610, -1.0489);4,6120;4,8692
0,2497536;0,003706936;(0.0783, 1.3720, -0.5368);(0.1437, 1.4610, -1.0489);4,6120;4,8692
0,2718815;0,00855745;(0.0822, 1.3691, -0.5364);(0.1437, 1.4608, -1.0487);4,6131;4,8683
0,283165;0,01164272;(0.0846, 1.3672, -0.5363);(0.1437, 1.4608, -1.0486);4,6140;4,8679
0,2940313;0,01601204;(0.0880, 1.3645, -0.5358);(0.1437, 1.4606, -1.0485);4,6149;4,8670
0,3051077;0,02119265;(0.0919, 1.3612, -0.5355);(0.1437, 1.4604, -1.0484);4,6162;4,8662
0,3163244;0,02660097;(0.0960, 1.3577, -0.5351);(0.1436, 1.4602, -1.0483);4,6176;4,8653
0,3275119;0,03223138;(0.1003, 1.3540, -0.5349);(0.1436, 1.4600, -1.0482);4,6193;4,8647
0,3384628;0,0377306;(0.1046, 1.3506, -0.5344);(0.1436, 1.4598, -1.0481);4,6205;4,8637
0,3495397;0,04282697;(0.1085, 1.3473, -0.5340);(0.1436, 1.4596, -1.0479);4,6218;4,8629
0,3607443;0,04928934;(0.1137, 1.3436, -0.5331);(0.1435, 1.4594, -1.0477);4,6229;4,8613
0,3729362;0,05566354;(0.1187, 1.3397, -0.5326);(0.1436, 1.4591, -1.0477);4,6245;4,8603
0,3834846;0,06212601;(0.1238, 1.3358, -0.5320);(0.1435, 1.4589, -1.0476);4,6259;4,8589
0,3947368;0,068242;(0.1287, 1.3321, -0.5314);(0.1434, 1.4587, -1.0477);4,6273;4,8578
0,4062877;0,07479502;(0.1339, 1.3282, -0.5308);(0.1435, 1.4585, -1.0475);4,6287;4,8566
0,4062877;0,07479502;(0.1339, 1.3282, -0.5308);(0.1435, 1.4585, -1.0475);4,6287;4,8566
0,4288347;0,08780131;(0.1445, 1.3206, -0.5301);(0.1435, 1.4583, -1.0474);4,6320;4,8544
0,4288347;0,08780131;(0.1445, 1.3206, -0.5301);(0.1435, 1.4583, -1.0474);4,6320;4,8544
0,4513924;0,1004587;(0.1549, 1.3135, -0.5291);(0.1436, 1.4580, -1.0472);4,6350;4,8521
0,4627538;0,1070202;(0.1603, 1.3099, -0.5283);(0.1438, 1.4579, -1.0472);4,6362;4,8506
0,4627538;0,1070202;(0.1603, 1.3099, -0.5283);(0.1438, 1.4579, -1.0472);4,6362;4,8506
0,4740227;0,1127132;(0.1654, 1.3074, -0.5281);(0.1439, 1.4578, -1.0470);4,6374;4,8494
0,4856317;0,1185722;(0.1704, 1.3043, -0.5276);(0.1440, 1.4577, -1.0469);4,6386;4,8481
0,4967659;0,123876;(0.1751, 1.3020, -0.5274);(0.1441, 1.4576, -1.0468);4,6397;4,8471
0,5082182;0,1290314;(0.1799, 1.3000, -0.5273);(0.1443, 1.4575, -1.0467);4,6408;4,8460
0,5194945;0,1343284;(0.1848, 1.2979, -0.5272);(0.1444, 1.4574, -1.0465);4,6419;4,8449
0,5307175;0,1392968;(0.1893, 1.2960, -0.5270);(0.1446, 1.4573, -1.0463);4,6428;4,8437
0,5421512;0,1442056;(0.1939, 1.2942, -0.5267);(0.1448, 1.4572, -1.0463);4,6436;4,8425
0,553588;0,1486652;(0.1982, 1.2931, -0.5269);(0.1450, 1.4571, -1.0461);4,6445;4,8416
0,5651454;0,153192;(0.2026, 1.2920, -0.5271);(0.1453, 1.4571, -1.0460);4,6454;4,8406
0,5810378;0,1577618;(0.2070, 1.2907, -0.5273);(0.1455, 1.4570, -1.0459);4,6463;4,8397
0,5878236;0,162096;(0.2113, 1.2902, -0.5272);(0.1458, 1.4570, -1.0457);4,6467;4,8384
0,5991459;0,1662441;(0.2153, 1.2893, -0.5275);(0.1461, 1.4569, -1.0456);4,6476;4,8376
0,6105871;0,1700945;(0.2191, 1.2887, -0.5277);(0.1464, 1.4569, -1.0455);4,6483;4,8368
0,6216884;0,1738225;(0.2228, 1.2881, -0.5280);(0.1467, 1.4569, -1.0453);4,6490;4,8360
0,6328645;0,1770661;(0.2260, 1.2879, -0.5283);(0.1469, 1.4569, -1.0452);4,6494;4,8353
0,6451297;0,1801137;(0.2290, 1.2878, -0.5286);(0.1472, 1.4569, -1.0451);4,6499;4,8347
0,6549246;0,1830413;(0.2320, 1.2878, -0.5289);(0.1475, 1.4569, -1.0451);4,6504;4,8340
0,6660895;0,18593;(0.2348, 1.2877, -0.5292);(0.1478, 1.4569, -1.0450);4,6508;4,8334
0,6774698;0,1885127;(0.2374, 1.2879, -0.5295);(0.1480, 1.4568, -1.0449);4,6511;4,8328
0,6885145;0,1912152;(0.2400, 1.2883, -0.5298);(0.1483, 1.4567, -1.0450);4,6513;4,8321
0,699519;0,1937779;(0.2426, 1.2885, -0.5302);(0.1486, 1.4567, -1.0449);4,6517;4,8315
0,7109971;0,1960983;(0.2448, 1.2888, -0.5305);(0.1489, 1.4566, -1.0449);4,6520;4,8311
0,7221163;0,1981965;(0.2469, 1.2888, -0.5310);(0.1493, 1.4566, -1.0449);4,6524;4,8308
0,7380399;0,2001671;(0.2488, 1.2892, -0.5311);(0.1495, 1.4566, -1.0449);4,6525;4,8303
0,7440356;0,201851;(0.2505, 1.2892, -0.5315);(0.1498, 1.4565, -1.0448);4,6529;4,8300
0,7552906;0,2034299;(0.2520, 1.2894, -0.5317);(0.1501, 1.4564, -1.0448);4,6531;4,8297
0,7663188;0,2049768;(0.2535, 1.2897, -0.5320);(0.1503, 1.4564, -1.0449);4,6532;4,8294
0,7775024;0,2063308;(0.2548, 1.2898, -0.5322);(0.1507, 1.4562, -1.0450);4,6534;4,8291
0,78844;0,2077736;(0.2562, 1.2901, -0.5323);(0.1509, 1.4562, -1.0450);4,6535;4,8287
0,7996045;0,2091167;(0.2576, 1.2901, -0.5325);(0.1512, 1.4562, -1.0450);4,6537;4,8284
0,8107554;0,2103447;(0.2588, 1.2900, -0.5326);(0.1514, 1.4562, -1.0450);4,6540;4,8282
0,8216879;0,2115502;(0.2599, 1.2899, -0.5329);(0.1516, 1.4562, -1.0451);4,6543;4,8282
0,8328374;0,2126555;(0.2610, 1.2901, -0.5330);(0.1518, 1.4562, -1.0452);4,6544;4,8278
0,8439956;0,2140285;(0.2624, 1.2898, -0.5333);(0.1521, 1.4562, -1.0453);4,6548;4,8277
0,8565606;0,2151453;(0.2634, 1.2896, -0.5334);(0.1522, 1.4562, -1.0453);4,6551;4,8276
0,8661336;0,2163157;(0.2645, 1.2892, -0.5336);(0.1525, 1.4563, -1.0454);4,6555;4,8276
0,8774073;0,2174868;(0.2656, 1.2890, -0.5338);(0.1527, 1.4563, -1.0455);4,6559;4,8275
0,8925599;0,2185435;(0.2667, 1.2890, -0.5341);(0.1529, 1.4564, -1.0455);4,6561;4,8273
0,8992731;0,2195132;(0.2676, 1.2888, -0.5342);(0.1531, 1.4564, -1.0455);4,6564;4,8273
0,910487;0,2204046;(0.2685, 1.2888, -0.5344);(0.1533, 1.4564, -1.0455);4,6566;4,8271
0,9215906;0,2210407;(0.2690, 1.2884, -0.5343);(0.1534, 1.4564, -1.0455);4,6567;4,8270
0,9326528;0,220486;(0.2696, 1.2886, -0.5342);(0.1536, 1.4565, -1.0454);4,6566;4,8267
0,9437253;0,2211605;(0.2702, 1.2885, -0.5344);(0.1538, 1.4565, -1.0455);4,6568;4,8267
0,9547259;0,2216609;(0.2707, 1.2885, -0.5344);(0.1540, 1.4565, -1.0454);4,6570;4,8266
0,9660243;0,2222396;(0.2713, 1.2884, -0.5345);(0.1541, 1.4565, -1.0454);4,6571;4,8265
0,9769087;0,222891;(0.2719, 1.2885, -0.5346);(0.1544, 1.4566, -1.0453);4,6572;4,8264
0,9881145;0,2235095;(0.2725, 1.2883, -0.5348);(0.1545, 1.4565, -1.0454);4,6575;4,8264
0,9991554;0,2241716;(0.2731, 1.2881, -0.5349);(0.1547, 1.4565, -1.0453);4,6577;4,8264
1,010732;0,2246761;(0.2735, 1.2878, -0.5351);(0.1547, 1.4566, -1.0452);4,6580;4,8265
1,021325;0,2248739;(0.2736, 1.2877, -0.5351);(0.1549, 1.4565, -1.0452);4,6581;4,8265
1,032539;0,224497;(0.2737, 1.2880, -0.5349);(0.1550, 1.4564, -1.0451);4,6577;4,8262
1,047809;0,2242012;(0.2737, 1.2883, -0.5347);(0.1551, 1.4564, -1.0450);4,6575;4,8260
1,055901;0,2240406;(0.2737, 1.2884, -0.5347);(0.1552, 1.4563, -1.0449);4,6574;4,8259
1,065937;0,2238652;(0.2737, 1.2886, -0.5346);(0.1553, 1.4563, -1.0448);4,6572;4,8258
1,077489;0,223735;(0.2738, 1.2887, -0.5346);(0.1554, 1.4562, -1.0448);4,6572;4,8257
1,088545;0,2236289;(0.2738, 1.2887, -0.5345);(0.1555, 1.4561, -1.0447);4,6571;4,8256
1,099338;0,2237746;(0.2738, 1.2888, -0.5346);(0.1556, 1.4561, -1.0447);4,6571;4,8257
1,110489;0,2235024;(0.2739, 1.2891, -0.5346);(0.1557, 1.4560, -1.0446);4,6570;4,8256
1,121473;0,2236463;(0.2739, 1.2892, -0.5346);(0.1558, 1.4561, -1.0446);4,6570;4,8256
1,132545;0,223915;(0.2739, 1.2893, -0.5348);(0.1558, 1.4561, -1.0446);4,6571;4,8257
1,143824;0,2241043;(0.2738, 1.2895, -0.5349);(0.1558, 1.4560, -1.0446);4,6571;4,8258
1,154716;0,2238083;(0.2736, 1.2897, -0.5350);(0.1558, 1.4560, -1.0445);4,6570;4,8259
1,16578;0,2233035;(0.2734, 1.2901, -0.5348);(0.1558, 1.4560, -1.0444);4,6566;4,8256
1,176904;0,2230916;(0.2733, 1.2903, -0.5348);(0.1558, 1.4559, -1.0444);4,6566;4,8256
1,187953;0,2232974;(0.2733, 1.2904, -0.5350);(0.1558, 1.4558, -1.0444);4,6567;4,8258
1,203021;0,2235583;(0.2731, 1.2905, -0.5351);(0.1557, 1.4558, -1.0445);4,6567;4,8259
1,210263;0,2233029;(0.2729, 1.2906, -0.5352);(0.1557, 1.4558, -1.0445);4,6567;4,8260
1,221331;0,2235306;(0.2727, 1.2907, -0.5353);(0.1556, 1.4558, -1.0445);4,6567;4,8261
1,232471;0,2234019;(0.2726, 1.2907, -0.5352);(0.1555, 1.4556, -1.0446);4,6567;4,8261
1,243729;0,2231112;(0.2723, 1.2908, -0.5353);(0.1555, 1.4557, -1.0445);4,6567;4,8262
1,254874;0,2233804;(0.2720, 1.2907, -0.5352);(0.1555, 1.4556, -1.0445);4,6567;4,8263
1,267348;0,2235908;(0.2719, 1.2906, -0.5353);(0.1554, 1.4556, -1.0445);4,6568;4,8264
