time;distance
0,04;3,754853
0,04;0,001263908
0,3733333;0,008083481
0,4922732;0,00041661
0,4988703;0,000147821
0,5156223;0,000142217
0,5229135;0,000227695
0,5332149;0,000256601
0,5446528;0,000198599
0,5579415;0,000483856
0,5672926;0,000691825
0,5792488;0,000208359
0,5907262;0,000320349
0,6022039;0,000195046
0,614274;0,000248557
0,6255082;0,000256487
0,6369991;0,000180201
0,6487483;0,000111143
0,6607794;9,62E-05
0,6720675;0,000488154
0,683843;0,000649527
0,6955698;0,000431494
0,7078956;0,000466308
0,7190405;0,000233918
0,7308387;0,000521969
0,7308387;0,000114819
0,7543396;0,000237723
0,7661971;0,000494649
0,7780625;0,00058167
0,7891642;0,000868924
0,8011204;0,000776263
0,8123183;0,00107381
0,823691;0,000709338
0,8344052;0,000267857
0,8461456;0,000425311
0,856856;0,000305678
0,8681661;0,00033673
0,8794399;0,000553356
0,8904082;0,000700904
0,9017991;0,0004825
0,9125692;0,000311475
0,9244603;0,000530399
0,9347847;0,000507455
0,9457442;0,000615801
0,9572735;0,00078587
0,9677103;0,001369597
0,9782411;0,001156136
0,9891787;0,001498885
1,000219;0,001390118
1,011796;0,001409258
1,02242;0,002086314
1,033613;0,002187446
1,044814;0,001765686
1,056352;0,001737363
1,067325;0,001786628
1,078275;0,002484706
1,089796;0,003193018
1,100566;0,003012387
1,111797;0,003831054
1,122883;0,003019304
1,135747;0,003355241
1,14833;0,003890393
1,161298;0,004178732
1,173413;0,00471876
1,184444;0,004639406
1,19677;0,004349296
1,207516;0,004892563
1,218475;0,005227717
1,229983;0,005712955
1,24131;0,005879006
1,252922;0,005160925
1,26364;0,005143959
1,274779;0,005124746
1,286625;0,005129507
1,296443;0,004967859
1,307718;0,005079285
1,318481;0,004559655
1,329537;0,004347001
1,340837;0,004087708
1,352185;0,004434081
1,363063;0,004699752
1,374398;0,005184846
1,385639;0,004984793
1,397328;0,00497188
1,407803;0,004515674
1,418645;0,004082496
1,429601;0,00423976
1,440653;0,004025388
1,451783;0,003984231
1,462953;0,004332069
1,474183;0,003875922
1,485187;0,004195295
1,495872;0,003970823
1,507327;0,003934669
1,518272;0,003623481
1,52914;0,003326027
1,540142;0,002789374
1,550931;0,002896246
1,561892;0,0027871
1,573166;0,003395798
1,584191;0,00320621
1,595466;0,002994137
1,606971;0,002585358
1,617867;0,002152449
1,630001;0,002027447
1,640784;0,001809582
1,651424;0,002191859
1,662851;0,003124005
1,674038;0,003363195
1,684749;0,003134438
1,695655;0,002809664
1,706584;0,003226876
1,718093;0,003397354
1,729528;0,004145355
1,740498;0,004149746
1,751653;0,004250332
1,762827;0,004198757
1,77394;0,003717224
1,78567;0,003022341
1,796891;0,002961969
1,807444;0,003771374
1,818241;0,004258038
1,829799;0,004209414
1,84063;0,003915942
1,85184;0,00361389
1,862884;0,003423254
1,874891;0,002791181
1,885809;0,002875185
1,896425;0,001680544
1,908132;0,002497043
1,918882;0,001753641
1,930001;0,001789669
1,941438;0,001841702
1,952828;0,001648555
1,9634;0,001924486
1,974278;0,001625477
1,98483;0,00153118
1,99574;0,000925135
2,007029;0,001013746
2,01821;0,000547569
2,029731;0,000620762
2,040663;0,000498971
2,051349;0,00064583
2,062535;0,000843376
2,073591;0,000702457
2,084974;0,000455126
2,096065;0,00033624
2,107935;0,000312595
2,118162;0,000358753
2,129366;0,000195797
2,140449;0,000341657
2,151538;0,000638351
2,162288;0,00015679
2,173327;0,000263933
2,184387;0,000336257
2,195996;0,000239634
2,206661;0,000469358
2,217623;0,000203063
2,228801;0,000244777
2,23947;0,000180556
2,251097;0,000134674
2,26183;0,000338345
2,272943;0,000229555
2,283809;0,000318564
2,295125;0,000367889
2,306149;0,000545116
2,317183;0,000275798
2,328485;0,000456573
2,339613;0,000452977
2,351049;0,000334156
2,361695;0,000376466
2,37295;0,000349247
2,383995;0,000345096
2,395648;0,000112652
2,405923;0,000136947
2,417309;0,000229702
2,428365;0,000466662
2,439199;0,000208387
2,450744;0,000416015
2,46172;0,000277697
2,472759;0,000911797
2,484396;0,000170314
2,495201;0,000452009
2,506318;0,000192236
2,517314;0,000228576
2,528715;0,00024457
2,539209;0,000365534
2,550534;0,000267353
2,561337;0,000497402
2,572471;0,00037171
2,583624;0,000319886
2,594653;0,00023404
2,60578;0,000254156
2,60578;0,000172144
2,670651;0,000961652
;
;
;
;
;
