time;acceleration
0,0400086;6,269219E-08
0,0510534;-6,631963E-08
0,0619133;3,575068E-08
0,07344349;2,684772E-09
0,084144;-3,881859E-08
0,095291;-3,136032E-08
0,1059736;7,746473E-08
0,1168542;-6,148209E-08
0,1281187;5,129761E-08
0,1390165;1,074893E-08
0,1507157;-8,810198E-09
0,1610721;-3,971818E-09
0,1721538;-3,563648E-08
0,1833046;-2,401432E-08
0,1944253;3,253643E-08
0,205358;-1,797086E-09
0,2164502;4,946569E-09
0,2276844;2,323645E-11
0,2386056;-1,921737E-09
0,2497783;-3,902359E-09
0,2608833;2,663653E-09
0,2722996;6,72962E-09
0,283197;3,473252E-10
0,2942196;3,804591E-08
0,3056709;-6,235205E-09
0,316809;-4,169542E-08
0,3284953;4,276621E-09
0,3396702;-1,044987E-08
0,3505521;5,580304E-08
0,3616695;-2,20778E-08
0,3729922;-4,200008E-08
0,3842925;-2,26973E-08
0,3955546;7,288008E-08
0,4072063;4,417413E-08
0,4187806;1,208817E-08
0,4300107;1,85124E-08
0,4415671;1,457778E-08
0,4526511;3,545212E-08
0,4639241;4,068579E-09
0,474994;2,025915E-08
0,4864529;2,648956E-08
0,4973891;1,864042E-08
0,5086694;-2,414532E-08
0,5198789;5,519185E-08
0,5312201;-6,60848E-09
0,5425074;8,383013E-09
0,5537716;9,08913E-08
0,5653297;-3,561414E-08
0,5765764;2,406465E-08
0,5880978;1,28906E-08
0,5995203;-3,715977E-09
0,6105773;6,058435E-09
0,6216767;-1,862496E-08
0,6329882;2,678597E-08
0,6442205;-1,072251E-08
0,6551679;1,015738E-08
0,6662554;-2,225097E-09
0,6774076;3,644818E-09
0,6884702;3,904886E-08
0,6997167;-1,971537E-08
0,7106494;4,141802E-09
0,7220036;5,757792E-09
0,7329935;3,345485E-10
0,7441592;-2,27429E-08
0,7553276;-1,508015E-09
0,7666139;-1,689346E-08
0,7779795;-7,431954E-09
0,7890184;8,525713E-09
0,8000472;-9,413052E-09
0,8112198;1,928733E-08
0,8221528;2,356021E-08
0,8331245;8,837123E-09
0,8440791;-4,268586E-08
0,8551071;3,2077E-08
0,8661019;-3,905076E-08
0,8773187;-2,74211E-08
0,8882051;8,495899E-09
0,8993729;-4,967302E-08
0,9105281;-4,489721E-09
0,9214514;-1,639091E-10
0,9324955;1,501143E-08
0,9436563;-3,059209E-08
0,9548925;3,896355E-08
0,9658943;1,158267E-08
0,9772984;-4,857331E-08
0,9884039;1,690685E-08
0,9995821;-3,756731E-08
1,010871;-2,892302E-09
1,021604;1,98081E-08
1,032857;-4,680753E-08
1,04389;-1,023709E-09
1,05483;-2,126693E-08
1,06597;-9,851155E-09
1,077121;3,381074E-08
1,0884;7,046459E-08
1,099483;-2,880841E-08
1,110654;1,926423E-08
1,121745;-3,141166E-08
1,132531;7,586186E-09
1,143896;1,581011E-09
1,154881;-4,192292E-08
1,165721;-1,66133E-08
1,17686;-1,856388E-08
1,187983;-4,626661E-08
1,199072;5,938112E-08
1,210201;1,577289E-08
1,221087;8,568168E-10
1,232559;-5,085767E-09
1,243623;1,216977E-08
1,254579;-2,418606E-08
1,266068;1,15484E-08
1,277316;-2,888441E-08
1,288193;-2,171695E-08
1,299406;-5,210941E-09
1,310947;-3,963411E-08
1,321657;-1,685783E-07
1,33276;1,50229E-07
1,344109;-9,954721E-08
1,354995;6,661713E-08
1,366422;3,439486E-08
1,377146;-1,094639E-07
1,388135;-1,861158E-09
1,399232;2,029538E-08
1,410486;3,290177E-09
1,421347;-3,750622E-09
1,432217;-1,716316E-08
1,443197;-1,495481E-08
1,454559;-1,495629E-08
1,46554;7,025897E-09
1,476831;-1,368224E-08
1,487713;1,989301E-09
1,499002;-1,564604E-10
1,510514;-1,155883E-08
1,521455;2,622601E-09
1,532393;-1,263616E-09
1,543525;-3,878921E-08
1,554855;4,801005E-08
1,566118;-1,48654E-08
1,577315;1,243651E-08
1,588515;4,680455E-09
1,600473;-1,355708E-08
1,611656;4,997846E-09
1,622683;-2,833903E-08
1,633793;1,51813E-08
1,645057;3,397614E-08
1,655755;-1,159012E-08
1,666943;-5,826355E-09
1,6778;1,030415E-08
1,689217;-1,93581E-08
1,699818;5,01871E-09
1,710799;1,099855E-08
1,722058;1,468211E-08
1,732776;-5,276502E-09
1,743752;-9,016694E-09
1,754805;1,783073E-08
1,766145;-1,024902E-08
1,777168;5,951524E-09
1,788226;-1,336336E-08
1,799343;9,22978E-09
1,810695;-5,215497E-11
1,821641;1,906455E-08
1,832703;-2,336501E-09
1,84405;1,701861E-08
1,854934;-2,741516E-08
1,866288;9,694695E-09
1,877424;2,254546E-09
1,888664;9,864561E-10
1,899864;5,650073E-08
1,911052;-3,884286E-08
1,922171;5,267113E-08
1,933379;-7,428229E-08
1,944398;-2,579838E-08
1,955307;4,633665E-08
1,966492;-1,761168E-08
1,977694;2,683103E-08
1,988494;-1,223534E-08
