time;distance;controller position;camera position
(0.43, 1.54, 4.56);(1.36, 3.31, 4.54)

0;-0,0001814547;(3.27, 1.06, 0.57)(3.25, 1.17, 0.47)
0;-0,0003628845;(3.27, 1.06, 0.57)(3.25, 1.17, 0.47)
0,0400086;8,260753E-05;(3.25, 1.02, 0.67)(3.27, 1.14, 0.44)
0,0510534;-0,0001350967;(3.25, 1.02, 0.69)(3.28, 1.15, 0.44)
0,0619133;4,705915E-06;(3.25, 1.02, 0.69)(3.28, 1.15, 0.44)
0,07344349;0,0001713562;(3.24, 1.01, 0.70)(3.28, 1.15, 0.44)
0,084144;-5,017944E-05;(3.24, 1.01, 0.70)(3.28, 1.15, 0.44)
0,095291;-0,0005853183;(3.24, 1.01, 0.70)(3.28, 1.15, 0.44)
0,1059736;-0,0003458099;(3.24, 1.01, 0.71)(3.28, 1.15, 0.43)
0,1168542;-0,0007211224;(3.24, 1.02, 0.71)(3.28, 1.15, 0.43)
0,1281187;-0,0005834588;(3.23, 1.01, 0.72)(3.28, 1.15, 0.43)
0,1390165;-0,0003383059;(3.22, 1.01, 0.72)(3.28, 1.16, 0.43)
0,1507157;-0,000181255;(3.22, 1.01, 0.73)(3.28, 1.16, 0.43)
0,1610721;-6,392223E-05;(3.22, 1.01, 0.73)(3.28, 1.16, 0.43)
0,1721538;-0,0003029543;(3.22, 1.01, 0.74)(3.28, 1.16, 0.43)
0,1833046;-0,0007821295;(3.22, 1.01, 0.74)(3.28, 1.16, 0.43)
0,1944253;-0,0009359405;(3.22, 1.01, 0.75)(3.28, 1.16, 0.43)
0,205358;-0,001107722;(3.21, 1.01, 0.75)(3.28, 1.16, 0.43)
0,2164502;-0,001230039;(3.21, 1.01, 0.75)(3.28, 1.17, 0.42)
0,2276844;-0,001352122;(3.21, 1.01, 0.75)(3.29, 1.17, 0.42)
0,2386056;-0,001493424;(3.20, 1.01, 0.75)(3.29, 1.17, 0.42)
0,2497783;-0,001673748;(3.20, 1.01, 0.75)(3.29, 1.17, 0.42)
0,2608833;-0,001827437;(3.20, 1.01, 0.75)(3.29, 1.17, 0.42)
0,2722996;-0,001913829;(3.19, 1.02, 0.75)(3.29, 1.17, 0.42)
0,283197;-0,001996747;(3.19, 1.02, 0.75)(3.29, 1.17, 0.42)
0,2942196;-0,001699207;(3.19, 1.02, 0.75)(3.29, 1.17, 0.42)
0,3056709;-0,001464019;(3.19, 1.03, 0.75)(3.29, 1.17, 0.42)
0,316809;-0,001645785;(3.18, 1.03, 0.75)(3.29, 1.17, 0.42)
0,3284953;-0,001784784;(3.18, 1.03, 0.75)(3.29, 1.18, 0.41)
0,3396702;-0,002028283;(3.18, 1.03, 0.75)(3.29, 1.18, 0.41)
0,3505521;-0,001713751;(3.18, 1.03, 0.75)(3.30, 1.18, 0.41)
0,3616695;-0,001619997;(3.17, 1.03, 0.75)(3.30, 1.18, 0.41)
0,3729922;-0,001946243;(3.18, 1.03, 0.75)(3.30, 1.18, 0.41)
0,3842925;-0,002499463;(3.18, 1.03, 0.75)(3.30, 1.18, 0.41)
0,3955546;-0,002323882;(3.18, 1.03, 0.75)(3.30, 1.18, 0.41)
0,4072063;-0,00170656;(3.18, 1.03, 0.76)(3.30, 1.18, 0.41)
0,4187806;-0,0009683555;(3.18, 1.03, 0.76)(3.31, 1.18, 0.41)
0,4300107;-4,502735E-05;(3.18, 1.03, 0.76)(3.31, 1.18, 0.41)
0,4415671;0,001024079;(3.18, 1.03, 0.76)(3.31, 1.18, 0.40)
0,4526511;0,002447706;(3.17, 1.03, 0.76)(3.31, 1.18, 0.40)
0,4639241;0,003912019;(3.17, 1.03, 0.76)(3.31, 1.18, 0.40)
0,474994;0,005578923;(3.17, 1.03, 0.76)(3.31, 1.18, 0.40)
0,4864529;0,007510723;(3.17, 1.03, 0.76)(3.32, 1.18, 0.40)
0,4973891;0,009628927;(3.17, 1.03, 0.76)(3.32, 1.18, 0.40)
0,5086694;0,01150568;(3.17, 1.03, 0.76)(3.32, 1.18, 0.40)
0,5198789;0,01393435;(3.17, 1.03, 0.76)(3.32, 1.18, 0.40)
0,5312201;0,01629693;(3.18, 1.03, 0.76)(3.32, 1.18, 0.40)
0,5425074;0,01874335;(3.18, 1.03, 0.77)(3.33, 1.18, 0.40)
0,5537716;0,02209868;(3.18, 1.03, 0.77)(3.33, 1.18, 0.40)
0,5653297;0,02509786;(3.17, 1.03, 0.77)(3.33, 1.18, 0.40)
0,5765764;0,02833769;(3.17, 1.04, 0.77)(3.33, 1.18, 0.40)
0,5880978;0,03170643;(3.17, 1.04, 0.77)(3.33, 1.19, 0.40)
0,5995203;0,03503801;(3.17, 1.04, 0.76)(3.33, 1.19, 0.39)
0,6105773;0,03843018;(3.17, 1.05, 0.76)(3.33, 1.19, 0.39)
0,6216767;0,04163609;(3.18, 1.05, 0.76)(3.34, 1.19, 0.39)
0,6329882;0,04510986;(3.18, 1.05, 0.77)(3.34, 1.19, 0.39)
0,6442205;0,04847641;(3.18, 1.05, 0.77)(3.34, 1.19, 0.39)
0,6551679;0,05194454;(3.18, 1.05, 0.77)(3.34, 1.19, 0.39)
0,6662554;0,05539041;(3.18, 1.05, 0.77)(3.34, 1.20, 0.39)
0,6774076;0,05887273;(3.18, 1.05, 0.78)(3.34, 1.20, 0.39)
0,6884702;0,06274553;(3.18, 1.05, 0.78)(3.34, 1.20, 0.38)
0,6997167;0,06642119;(3.18, 1.05, 0.78)(3.34, 1.20, 0.38)
0,7106494;0,07013826;(3.18, 1.05, 0.78)(3.34, 1.21, 0.38)
