id;target number;weight level;time;;total time
7;1;light;2,475556
7;2;light;2,022226
7;3;light;1,511114
7;4;light;1,76667
7;5;light;1,300002
7;6;light;1,733337
7;7;light;1,611114
7;8;light;1,544447
7;9;light;3,544436
7;10;light;3,666657
7;11;light;1,211113
7;12;light;2,133336
7;13;light;1,533336
7;14;light;1,700003
7;15;light;8,922276
7;16;light;5,800012
7;17;light;1,322224
7;18;light;2,999996
7;19;light;2,488889
7;20;light;1,86667
7;21;light;2,744442
7;22;light;1,333336
7;23;light;13,57789
7;24;light;3,133328
7;25;light;2,133336
7;26;light;1,522225
7;27;light;1,644447
7;28;light;1,466669
7;29;light;1,488891
7;30;light;1,644447
7;31;light;3,055551
7;32;light;1,688892
7;33;light;1,577781
7;34;light;1,47778
7;35;light;1,077779
7;36;light;4,544439
7;37;light;2,955552
7;38;light;2,766664
7;39;light;5,355561
7;40;light;4,566662
7;41;light;2,788886
7;42;light;1,900004
7;43;light;5,711122
7;44;light;3,433326
7;45;light;3,04444
7;46;light;2,766664
7;47;light;1,511114
7;48;light;1,466669
7;49;light;1,633336
7;50;light;2,433334
7;51;light;1,844448
;;;;;139,4424
7;1;medium;4,897778
7;2;medium;1,888893
7;3;medium;1,311113
7;4;medium;1,122224
7;5;medium;3,37777
7;6;medium;1,566669
7;7;medium;1,000001
7;8;medium;1,977782
7;9;medium;1,755559
7;10;medium;1,27778
7;11;medium;1,233335
7;12;medium;0,9666679
7;13;medium;1,788892
7;14;medium;1,777781
7;15;medium;1,700003
7;16;medium;1,222224
7;17;medium;1,555558
7;18;medium;0,9666679
7;19;medium;1,08889
7;20;medium;2,155558
7;21;medium;2,277779
7;22;medium;1,233335
7;23;medium;1,777781
7;24;medium;1,411114
7;25;medium;2,755553
7;26;medium;1,877781
7;27;medium;1,466669
7;28;medium;4,677774
7;29;medium;2,822219
7;30;medium;2,799997
7;31;medium;1,08889
7;32;medium;1,933337
7;33;medium;3,133328
7;34;medium;1,577781
7;35;medium;2,100003
7;36;medium;1,888893
7;37;medium;1,288891
7;38;medium;3,566658
7;39;medium;1,311113
7;40;medium;1,444447
7;41;medium;1,344447
7;42;medium;1,888893
7;43;medium;1,811115
7;44;medium;1,677781
7;45;medium;1,533336
7;46;medium;1,288891
