id;target number;weight level;time;;total time
2;4;medium;1,37778
2;5;medium;1,722225
2;6;medium;1,222224
2;7;medium;2,300001
2;8;medium;1,200002
2;9;medium;1,311113
2;10;medium;1,077779
2;11;medium;0,9555568
2;12;medium;1,133335
2;13;medium;1,488891
2;14;medium;1,600003
2;15;medium;0,9444456
2;16;medium;1,322224
2;17;medium;1,100002
2;18;medium;1,166668
2;19;medium;1,266669
2;20;medium;1,444447
2;21;medium;1,366669
2;22;medium;1,17778
2;23;medium;1,433336
2;24;medium;1,288891
2;25;medium;1,322224
2;26;medium;1,044446
2;27;medium;1,077779
2;28;medium;1,033335
2;29;medium;2,222224
2;30;medium;1,27778
2;31;medium;1,86667
2;32;medium;1,500003
2;33;medium;1,27778
2;34;medium;1,188891
2;35;medium;1,47778
2;36;medium;1,311113
2;37;medium;1,244446
2;38;medium;1,388891
2;39;medium;1,077779
2;40;medium;1,288891
2;41;medium;1,633336
2;42;medium;1,500003
2;43;medium;1,37778
2;44;medium;1,455558
2;45;medium;1,888893
2;46;medium;1,833337
2;47;medium;1,544447
2;48;medium;1,022224
2;49;medium;1,533336
2;50;medium;1,211113
2;51;medium;1,588892
;;;;;73,46453
