time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;
;;;;;;;;;;
0,3332884;0,058449542;0,007098457;(0.0561694500, 1.1825970000, 0.4107499000);(-0.0985912700, 1.4551660000, -0.1084765000);4,428265;4,531933;;;0,05616945;1,182597
0,3442401;0,0658168;0,007367258;(0.0618005400, 1.1861930000, 0.4076456000);(-0.0985912700, 1.4551660000, -0.1084765000);4,429412;4,529809;;;0,06180054;1,186193
0,3554574;0,073199335;0,007382535;(0.0673852600, 1.1898730000, 0.4045201000);(-0.0984866000, 1.4551760000, -0.1084714000);4,430614;4,527726;;;0,06738526;1,189873
0,3662875;0,080153022;0,006953687;(0.0726552600, 1.1933000000, 0.4015470000);(-0.0984866000, 1.4551760000, -0.1084714000);4,431777;4,525797;;;0,07265526;1,1933
0,3774535;0,087317336;0,007164314;(0.0780344000, 1.1968050000, 0.3983684000);(-0.0983732900, 1.4552150000, -0.1084889000);4,433111;4,523941;;;0,0780344;1,196805
0,3882778;0,094621169;0,007303833;(0.0834025700, 1.2004410000, 0.3950055000);(-0.0983732900, 1.4552150000, -0.1084889000);4,434641;4,522215;;;0,08340257;1,200441
0,3995362;0,101664413;0,007043244;(0.0886789000, 1.2038290000, 0.3917979000);(-0.0982546200, 1.4552650000, -0.1084968000);4,436052;4,52049;;;0,0886789;1,203829
0,4107165;0,108403046;0,006738633;(0.0937198400, 1.2071200000, 0.3887704000);(-0.0982546200, 1.4552650000, -0.1084968000);4,437379;4,518816;;;0,09371984;1,20712
0,4217191;0,115833197;0,007430151;(0.0992415000, 1.2108480000, 0.3854806000);(-0.0980018400, 1.4554950000, -0.1086306000);4,438828;4,516952;;;0,0992415;1,210848
0,4327428;0,122424377;0,00659118;(0.1041324000, 1.2141320000, 0.3825247000);(-0.0980018400, 1.4554950000, -0.1086306000);4,440158;4,515344;;;0,1041324;1,214132
0,4441676;0,129072227;0,00664785;(0.1090944000, 1.2173990000, 0.3795415000);(-0.0980411200, 1.4554420000, -0.1085802000);4,4415;4,513721;;;0,1090944;1,217399
0,4551793;0,135819548;0,006747321;(0.1140119000, 1.2207430000, 0.3763539000);(-0.0980411200, 1.4554420000, -0.1085802000);4,443062;4,512275;;;0,1140119;1,220743
0,4663244;0,14210423;0,006284682;(0.1186864000, 1.2238330000, 0.3735079000);(-0.0978994400, 1.4554940000, -0.1085820000);4,444377;4,510788;;;0,1186864;1,223833
0,4774238;0,148226782;0,006122552;(0.1231545000, 1.2267250000, 0.3704819000);(-0.0978994400, 1.4554940000, -0.1085820000);4,445926;4,50961;;;0,1231545;1,226725
0,4888121;0,153848247;0,005621465;(0.1273080000, 1.2294380000, 0.3678374000);(-0.0979233400, 1.4555520000, -0.1085556000);4,447215;4,508394;;;0,127308;1,229438
0,4999897;0,159134709;0,005286462;(0.1312467000, 1.2320660000, 0.3654867000);(-0.0979233400, 1.4555520000, -0.1085556000);4,448301;4,507122;;;0,1312467;1,232066
0,4999897;0,159134709;0;(0.1312467000, 1.2320660000, 0.3654867000);(-0.0977185100, 1.4555520000, -0.1086004000);4,448301;4,507122;;;0,1312467;1,232066
0,51118;0,164702745;0,005568036;(0.1351575000, 1.2349680000, 0.3627875000);(-0.0977185100, 1.4555520000, -0.1086004000);4,449749;4,506086;;;0,1351575;1,234968
0,5223785;0,169103382;0,004400637;(0.1382590000, 1.2374540000, 0.3608995000);(-0.0973539700, 1.4557820000, -0.1087782000);4,450677;4,505052;;;0,138259;1,237454
0,5333762;0,174111763;0,005008381;(0.1418526000, 1.2402300000, 0.3587862000);(-0.0973539700, 1.4557820000, -0.1087782000);4,451682;4,50382;;;0,1418526;1,24023
0,5554858;0,182485502;0,008373739;(0.1474309000, 1.2454070000, 0.3552932000);(-0.0971195100, 1.4558810000, -0.1088139000);4,453515;4,501935;;;0,1474309;1,245407
0,5664855;0,186307864;0,003822362;(0.1500925000, 1.2475940000, 0.3536373000);(-0.0971195100, 1.4558810000, -0.1088139000);4,454363;4,501079;;;0,1500925;1,247594
0,5776337;0,190153482;0,003845618;(0.1528017000, 1.2497400000, 0.3519512000);(-0.0966247300, 1.4561680000, -0.1088553000);4,455225;4,500225;;;0,1528017;1,24974
0,5887184;0,193432459;0,003278977;(0.1551762000, 1.2514220000, 0.3504390000);(-0.0966247300, 1.4561680000, -0.1088553000);4,456;4,499536;;;0,1551762;1,251422
0,5997586;0,196375473;0,002943014;(0.1572890000, 1.2529320000, 0.3490552000);(-0.0963425600, 1.4563350000, -0.1088844000);4,456729;4,498951;;;0,157289;1,252932
0,5997586;0,196375473;0;(0.1572890000, 1.2529320000, 0.3490552000);(-0.0963425600, 1.4563350000, -0.1088844000);4,456729;4,498951;;;0,157289;1,252932
0,622063;0,201923719;0,005548246;(0.1613281000, 1.2558020000, 0.3465586000);(-0.0960034100, 1.4566180000, -0.1090408000);4,457986;4,497731;;;0,1613281;1,255802
0,6332745;0,204636577;0,002712858;(0.1632180000, 1.2572420000, 0.3452488000);(-0.0960034100, 1.4566180000, -0.1090408000);4,458717;4,497252;;;0,163218;1,257242
0,6443705;0,206866474;0,002229897;(0.1646882000, 1.2584450000, 0.3440809000);(-0.0956819400, 1.4567920000, -0.1091184000);4,459434;4,496978;;;0,1646882;1,258445
0,6443705;0,206866474;0;(0.1646882000, 1.2584450000, 0.3440809000);(-0.0956819400, 1.4567920000, -0.1091184000);4,459434;4,496978;;;0,1646882;1,258445
0,6666042;0,2102219;0,003355426;(0.1671070000, 1.2601500000, 0.3424995000);(-0.0954578500, 1.4568910000, -0.1091910000);4,460273;4,49632;;;0,167107;1,26015
0,6776648;0,211502292;0,001280392;(0.1680046000, 1.2607930000, 0.3418519000);(-0.0954578500, 1.4568910000, -0.1091910000);4,460644;4,49612;;;0,1680046;1,260793
0,6889201;0,21293484;0,001432548;(0.1690677000, 1.2614640000, 0.3411641000);(-0.0951015400, 1.4570810000, -0.1092978000);4,461;4,49584;;;0,1690677;1,261464
0,6889201;0,21293484;0;(0.1690677000, 1.2614640000, 0.3411641000);(-0.0951015400, 1.4570810000, -0.1092978000);4,461;4,49584;;;0,1690677;1,261464
0,7110981;0,214607914;0,001673074;(0.1703821000, 1.2621110000, 0.3403562000);(-0.0946838000, 1.4571680000, -0.1094100000);4,461388;4,495491;;;0,1703821;1,262111
0,7110981;0,214607914;0;(0.1703821000, 1.2621110000, 0.3403562000);(-0.0946838000, 1.4571680000, -0.1094100000);4,461388;4,495491;;;0,1703821;1,262111
0,7332675;0,215736404;0,00112849;(0.1713432000, 1.2624460000, 0.3398687000);(-0.0942748200, 1.4573370000, -0.1095645000);4,461565;4,495181;;;0,1713432;1,262446
0,7444028;0,216272305;0,000535901;(0.1717967000, 1.2626230000, 0.3396453000);(-0.0942748200, 1.4573370000, -0.1095645000);4,461643;4,495027;;;0,1717967;1,262623
0,7554887;0,216135786;0,000136519;(0.1719327000, 1.2626210000, 0.3396332000);(-0.0938271900, 1.4575410000, -0.1097618000);4,46161;4,494949;;;0,1719327;1,262621
0,7666303;0,215919708;0,000216078;(0.1721376000, 1.2625560000, 0.3396103000);(-0.0938271900, 1.4575410000, -0.1097618000);4,461561;4,494844;;;0,1721376;1,262556
