time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(-0.18, 0.04, 4.65);(1.61, 0.91, 4.55);;;;;;;;;
;;;;;;;;;;
0,3611922;0,09142231;0,008458171;(-0.1099371000, 1.1067680000);(-0.1224190000, 1.4529890000, -0.1104739000);1,073115;1,730905;;;-0,1099371;1,106768
0,3725163;0,099427231;0,008004921;(-0.1032897000, 1.1112280000);(-0.1224190000, 1.4529890000, -0.1104739000);1,078038;1,724801;;;-0,1032897;1,111228
0,3841335;0,107286661;0,00785943;(-0.0967427500, 1.1155770000);(-0.1223168000, 1.4529930000, -0.1103447000);1,082879;1,718799;;;-0,09674275;1,115577
0,3951831;0,114786668;0,007500007;(-0.0904865600, 1.1197130000);(-0.1223168000, 1.4529930000, -0.1103447000);1,087519;1,713075;;;-0,09048656;1,119713
0,4064752;0,123705797;0,008919129;(-0.0831025500, 1.1247160000);(-0.1221808000, 1.4529450000, -0.1102109000);1,093156;1,706352;;;-0,08310255;1,124716
0,4178134;0,131504435;0,007798638;(-0.0764806000, 1.1288350000);(-0.1221808000, 1.4529450000, -0.1102109000);1,097883;1,700294;;;-0,0764806;1,128835
0,4291693;0,138770017;0,007265582;(-0.0702425200, 1.1325600000);(-0.1220975000, 1.4529600000, -0.1100266000);1,102214;1,69458;;;-0,07024252;1,13256
0,4401844;0,145751442;0,006981425;(-0.0642912100, 1.1362100000);(-0.1220975000, 1.4529600000, -0.1100266000);1,106469;1,689153;;;-0,06429121;1,13621
0,4516708;0,151808106;0,006056664;(-0.0590959500, 1.1393230000);(-0.1219815000, 1.4529920000, -0.1098455000);1,110134;1,684414;;;-0,05909595;1,139323
0,4630555;0,158688851;0,006880745;(-0.0537128700, 1.1436090000);(-0.1219815000, 1.4529920000, -0.1098455000);1,115007;1,679657;;;-0,05371287;1,143609
0,474466;0,164729749;0,006040898;(-0.0486605200, 1.1469200000);(-0.1218325000, 1.4529630000, -0.1096418000);1,118893;1,675108;;;-0,04866052;1,14692
0,4859902;0,170405111;0,005675362;(-0.0440356700, 1.1502100000);(-0.1218325000, 1.4529630000, -0.1096418000);1,122723;1,670988;;;-0,04403567;1,15021
0,4972081;0,175529484;0,005124373;(-0.0397492100, 1.1530180000);(-0.1216987000, 1.4529810000, -0.1094193000);1,126049;1,667143;;;-0,03974921;1,153018
0,5088255;0,180253865;0,004724381;(-0.0357373400, 1.1555130000);(-0.1216987000, 1.4529810000, -0.1094193000);1,129041;1,663531;;;-0,03573734;1,155513
0,5199301;0,18466274;0,004408875;(-0.0319327100, 1.1577410000);(-0.1215466000, 1.4530080000, -0.1092015000);1,131753;1,660091;;;-0,03193271;1,157741
0,5313222;0,189203984;0,004541244;(-0.0280216300, 1.1600490000);(-0.1215466000, 1.4530080000, -0.1092015000);1,134569;1,656562;;;-0,02802163;1,160049
