time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(1.31, 2.11, 4.64);(-0.67, 2.30, 4.77);;;;;;;;;
;;;;;;;;;;
0;-0,000455594;0,000455594;(0.0073208210, 1.2923580000, 0.4482601000);(-0.0971164700, 1.4639510000, -0.1122563000);4,468583;4,485765;;;0,007320821;1,292358
0,0112695;-0,000915961;0,000460367;(0.0070425270, 1.2922260000, 0.4486021000);(-0.0971164700, 1.4639510000, -0.1122563000);4,468368;4,485423;;;0,007042527;1,292226
0,0219522;-0,001248205;0,000332244;(0.0068683620, 1.2920680000, 0.4488370000);(-0.0971120600, 1.4637850000, -0.1119958000);4,468227;4,485206;;;0,006868362;1,292068
0,0329369;-0,001620867;0,000372663;(0.0067301990, 1.2917770000, 0.4490248000);(-0.0971120600, 1.4637850000, -0.1119958000);4,468145;4,485069;;;0,006730199;1,291777
0,0440409;-0,001996723;0,000375856;(0.0066015720, 1.2914660000, 0.4491912000);(-0.0970989500, 1.4638360000, -0.1118192000);4,468083;4,48496;;;0,006601572;1,291466
0,0553668;-0,002430243;0,00043352;(0.0064137580, 1.2911450000, 0.4494148000);(-0.0970989500, 1.4638360000, -0.1118192000);4,467988;4,484787;;;0,006413758;1,291145
0,0663799;-0,002217547;0,000212695;(0.0062860850, 1.2909750000, 0.4494157000);(-0.0970785000, 1.4638120000, -0.1116349000);4,468055;4,484805;;;0,006286085;1,290975
0,0770371;-0,002029194;0,000188353;(0.0061888100, 1.2908200000, 0.4494600000);(-0.0970785000, 1.4638120000, -0.1116349000);4,468071;4,484783;;;0,00618881;1,29082
0,088437;-0,002531834;0,00050264;(0.0058360700, 1.2905770000, 0.4497233000);(-0.0970883400, 1.4638670000, -0.1114282000);4,467971;4,48453;;;0,00583607;1,290577
0,0994213;-0,002743365;0,000211531;(0.0056536790, 1.2905250000, 0.4498165000);(-0.0970883400, 1.4638670000, -0.1114282000);4,467947;4,484425;;;0,005653679;1,290525
0,1107794;-0,003092458;0,000349093;(0.0053347950, 1.2906180000, 0.4499234000);(-0.0970665500, 1.4638170000, -0.1112392000);4,467923;4,484252;;;0,005334795;1,290618
0,1217942;-0,003303287;0,000210829;(0.0051860810, 1.2904980000, 0.4500126000);(-0.0970665500, 1.4638170000, -0.1112392000);4,467905;4,484171;;;0,005186081;1,290498
0,1329429;-0,003384376;8,10896E-05;(0.0052374010, 1.2905550000, 0.4500397000);(-0.0971195700, 1.4638860000, -0.1110476000);4,467854;4,48414;;;0,005237401;1,290555
0,1439604;-0,003687294;0,000302918;(0.0051469800, 1.2902790000, 0.4501262000);(-0.0971195700, 1.4638860000, -0.1110476000);4,46785;4,484105;;;0,00514698;1,290279
0,1551577;-0,003316716;0,000370578;(0.0048096780, 1.2901510000, 0.4502114000);(-0.0971283000, 1.4638590000, -0.1108680000);4,467892;4,484;;;0,004809678;1,290151
0,1663157;-0,003647872;0,000331157;(0.0045818090, 1.2900550000, 0.4504317000);(-0.0971283000, 1.4638590000, -0.1108680000);4,46777;4,483775;;;0,004581809;1,290055
0,1771997;-0,004608739;0,000960867;(0.0036864880, 1.2901000000, 0.4507777000);(-0.0971488400, 1.4638290000, -0.1106844000);4,4677;4,483297;;;0,003686488;1,2901
0,1882727;-0,005582061;0,000973322;(0.0027871130, 1.2902840000, 0.4511011000);(-0.0971488400, 1.4638290000, -0.1106844000);4,467627;4,482809;;;0,002787113;1,290284
0,1992683;-0,007727704;0,002145643;(0.0008552074, 1.2905500000, 0.4519960000);(-0.0972977300, 1.4637850000, -0.1104724000);4,467306;4,481596;;;0,000855207;1,29055
0,2106067;-0,00959724;0,001869536;(-0.0008635521, 1.2908010000, 0.4526871000);(-0.0972977300, 1.4637850000, -0.1104724000);4,467117;4,480616;;;-0,000863552;1,290801
