time;velocity
2,831987;-2,06E-06
2,842786;2,05E-06
2,854018;-1,90E-06
2,865038;2,64E-06
2,876403;2,32E-06
2,887373;1,61E-06
2,898561;2,61E-06
2,909662;1,62E-06
2,920809;1,95E-06
2,932101;6,19E-07
2,943056;3,65E-06
2,954096;1,88E-06
2,965327;1,28E-06
2,976282;9,43E-07
2,987408;6,75E-07
2,998375;-2,50E-06
3,00937;1,12E-06
3,020628;-2,08E-06
3,031653;-5,90E-07
3,042688;7,22E-07
3,053933;1,67E-06
3,065003;2,06E-06
3,076222;1,29E-06
3,08743;8,49E-07
3,098648;-1,42E-06
3,109766;1,97E-06
3,120827;1,43E-06
3,131994;-1,05E-06
3,143159;2,04E-06
3,154229;2,30E-06
3,165532;3,13E-06
3,176457;1,90E-06
3,187654;2,47E-06
3,198505;2,31E-06
3,209783;1,36E-06
3,220501;-2,50E-06
3,23189;-1,76E-06
3,24293;1,22E-06
3,254351;2,37E-06
3,265182;3,83E-06
3,276269;5,54E-07
