time;velocity
2,596879;1,622528E-06
2,608141;-1,11806E-06
2,619328;1,235489E-06
2,630726;2,142224E-06
2,641813;-1,440879E-06
2,653195;-1,258979E-06
2,671168;9,05823E-07
2,675236;7,21874E-07
2,686473;-2,683119E-06
2,697354;8,845893E-07
2,708452;8,121617E-07
2,719439;-6,046478E-07
2,730699;1,14982E-06
2,741486;-7,720552E-07
2,75254;-7,331459E-08
2,763649;3,474753E-07
2,774668;2,574384E-07
2,785893;5,920397E-07
2,796632;-1,160457E-06
2,807708;5,364277E-07
2,826117;-8,760598E-07
2,829711;4,374755E-07
2,841007;-3,892121E-07
2,851905;7,936163E-08
2,863037;2,325581E-06
2,874223;-2,616573E-06
2,88577;2,005853E-07
2,89675;2,053015E-07
2,907943;-1,869483E-07
2,919059;-1,396803E-07
2,930254;1,360702E-06
2,9413;-3,538036E-07
2,9525;-4,656549E-07
2,963681;-6,423421E-07
2,982894;5,878566E-08
2,985917;1,045174E-06
2,997015;-1,49231E-06
3,008001;1,422784E-06
3,01928;-1,115516E-06
3,030466;1,572005E-06
3,041282;-6,654507E-07
3,052284;3,64182E-08
3,063079;-2,637871E-07
3,074085;-4,429187E-07
3,085177;6,869202E-08
3,096458;-1,073377E-06
3,107124;5,942136E-07
3,118571;9,000694E-08
3,137058;9,233778E-07
3,14054;-5,784977E-07
3,15173;1,139063E-06
3,163127;-1,022825E-06
3,174495;-1,950668E-07
3,185557;4,010119E-06
3,196801;-3,918028E-06
3,207743;2,260126E-06
3,219206;-2,767496E-06
3,230397;7,493558E-07
3,241083;-1,070823E-07
3,252489;-2,950667E-07
3,263361;4,254538E-07
3,274692;1,216141E-06
3,293314;4,18452E-08
3,296786;-7,915328E-07
3,30814;-1,377624E-06
3,319078;2,827582E-07
3,33018;3,143417E-06
3,341127;-2,787619E-06
3,352554;2,165367E-07
3,363404;1,919038E-06
3,37445;-5,553808E-07
3,385971;6,659329E-07
3,3968;-1,837719E-06
3,408755;1,32495E-07
