time;acceleration
0,0244343;-1,060823E-08
0,0355099;-1,625896E-08
0,0468393;1,953106E-08
0,0576286;-5,183042E-09
0,0686772;-7,376308E-09
0,079684;1,033528E-08
0,0907101;-6,667193E-10
0,1018149;-6,085115E-09
0,1127524;-1,121946E-08
0,1244815;2,85134E-08
0,1244815;-3,108049E-08
0,1574304;2,399154E-08
0,1688675;-6,584818E-09
0,1801612;1,336813E-09
0,1909672;-1,162544E-08
0,2018521;1,703439E-08
0,2130315;-7,813663E-09
0,2240723;5,789881E-09
0,2356943;-1,124183E-08
0,2466346;1,822774E-08
0,2575056;1,569382E-08
0,2694581;1,640841E-08
0,2800181;-6,629605E-08
0,2800181;8,437412E-08
0,313288;1,035312E-07
0,3240677;-3,152493E-07
0,3353215;1,931359E-07
0,3463946;-1,102045E-08
0,3577297;1,756407E-08
0,3688287;-3,429211E-08
0,3799312;6,782286E-09
0,3913272;1,191131E-07
0,4025057;-2,201327E-07
0,4139209;9,042756E-08
0,424954;3,039124E-08
0,4362537;-2,570427E-08
0,4362537;-1,971554E-08
0,4699732;6,256042E-07
0,4811913;-1,177704E-06
0,4923298;6,095514E-07
0,5037146;-9,335727E-08
0,5148218;1,180251E-08
0,5260777;3,328631E-08
0,5372021;-4,540836E-08
0,5484877;8,56915E-08
0,5597327;-7,965109E-08
0,5712547;3,627087E-08
0,5823944;-2,510845E-10
0,5938146;-5,455697E-08
0,5938146;4,244642E-08
0,6269506;4,870414E-07
0,637954;-9,634231E-07
0,6491056;5,209376E-07
0,6600034;-4,18047E-08
0,6711123;9,158999E-09
0,6821442;3,594719E-09
0,6935634;-2,154978E-08
0,7044919;-2,787877E-08
0,7154599;2,294709E-08
0,7266876;-1,22732E-08
0,7381003;6,04474E-08
0,7493111;-3,437371E-09
0,7493111;-9,620651E-08
0,7829707;3,633123E-07
0,7942792;-6,317468E-07
0,8053112;2,933206E-07
0,8165136;5,178752E-08
0,8275269;-7,435519E-08
0,8387324;8,910145E-08
0,8499763;-7,985957E-08
0,8610887;8,564366E-08
0,8720333;-3,750067E-08
0,8832212;-6,11057E-09
0,8944543;-6,601844E-09
0,9054003;-1,190798E-08
0,9054003;3,311032E-08
0,9382979;1,474767E-07
0,9493538;-2,848737E-07
0,960431;1,283755E-07
0,9717144;2,956483E-10
0,9829198;-5,582523E-09
0,9940782;2,41325E-09
1,005304;4,110923E-08
1,016259;-5,251507E-08
1,02771;5,690762E-08
1,038779;-3,337504E-08
1,049633;-3,695511E-09
1,06083;4,810246E-09
1,06083;-1,149192E-08
1,09359;4,606391E-08
1,10481;-9,209568E-08
1,115758;7,086353E-08
1,1271;-7,315569E-09
1,137853;-6,883807E-09
1,149186;-1,293163E-08
1,160325;1,718986E-08
1,171591;-1,305767E-08
1,182742;1,433936E-08
1,193928;-1,064069E-08
1,205438;8,709193E-09
1,216834;7,426244E-09
1,216834;-1,813408E-08
1,249631;5,35803E-08
1,260659;-9,387943E-08
1,272366;4,569693E-08
1,282927;1,535668E-08
1,294252;-2,005684E-08
1,305403;1,668034E-08
1,316197;2,567767E-09
1,328;-1,337927E-08
1,338712;-1,77327E-08
1,350027;1,149111E-08
1,361096;7,449358E-10
1,372065;9,581894E-09
1,372065;2,432641E-08
